Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-Nitrotoluol,-203.71,126.88,17473.0,7684.2,27.791,17.978,154.13,1.0218,32.613,1.0685,231.07,149.48,-46546.0,1541.2,-63.026,3.5786,-61365.0,9718.0,-100.6,24.584,90.0,250.0,0.99923,0.0016203,0.0016203,4
Butyrophenone,-106.48,34.142,12054.0,2093.6,13.865,4.8279,160.25,0.24182,31.072,0.35742,115.28,40.141,-50263.0,580.88,-70.065,1.3356,-58362.0,2879.9,-90.452,7.2244,90.0,250.0,0.99995,0.00011685,0.00011685,4
Indol,-115.8,Inf,13458.0,Inf,15.218,Inf,234.22,Inf,44.87,Inf,126.53,Inf,-47701.0,Inf,-48.108,Inf,-65949.0,Inf,-90.423,Inf,90.0,250.0,1.0,5.053600000000001e-29,Inf,3
Biphenyl,-66.818,Inf,9754.1,Inf,8.2401,Inf,166.37,Inf,31.501,Inf,68.512,Inf,-50988.0,Inf,-70.101,Inf,-56220.0,Inf,-83.177,Inf,90.0,250.0,1.0,1.0568000000000001e-24,Inf,3
"2,4-Dinitrotoluol",-131.66,9.3191,14929.0,693.28,17.349,1.2834,248.07,1.1895,46.158,1.3783,144.25,10.671,-48936.0,1478.2,-47.98,2.8117,-71738.0,2266.4,-100.11,4.7984,90.0,250.0,1.0,8.2577e-6,8.2577e-6,4
Benzylbenzoat,-180.72,8.8135,18522.0,637.31,24.042,1.2181,235.45,0.78366,41.098,0.94418,199.89,10.128,-52332.0,1213.0,-56.986,2.3692,-81407.0,1927.8,-124.32,4.1766,90.0,250.0,1.0,7.4381e-6,7.4381e-6,4
Benzo[h]quinoline,-150.53,Inf,16282.0,Inf,19.999,Inf,262.53,Inf,51.528,Inf,166.28,Inf,-46302.0,Inf,-40.529,Inf,-74990.0,Inf,-105.16,Inf,90.0,250.0,1.0,1.8802e-25,Inf,3
Anthracen,-158.99,2.4269,16808.0,185.74,21.174,0.33329,258.03,0.40297,50.733,0.48877,176.05,2.7711,-46241.0,450.98,-41.145,0.84127,-75822.0,659.68,-108.09,1.3615,90.0,250.0,1.0,5.5688e-7,5.5688e-7,4
Acridine,-232.1,Inf,21252.0,Inf,31.583,Inf,305.06,Inf,111.79,Inf,262.59,Inf,-24864.0,Inf,2.9053,Inf,-81337.0,Inf,-119.23,Inf,90.0,250.0,1.0,2.1870999999999997e-28,Inf,3
1-Methylanthracene,-176.53,Inf,18295.0,Inf,23.557,Inf,269.03,Inf,53.225,Inf,195.86,Inf,-45920.0,Inf,-38.787,Inf,-80985.0,Inf,-117.28,Inf,90.0,250.0,1.0,1.8842e-24,Inf,3
"2,4,6-Trichlorophenol",-78.947,Inf,10679.0,Inf,9.9009,Inf,168.89,Inf,31.005,Inf,82.321,Inf,-52399.0,Inf,-72.631,Inf,-58894.0,Inf,-88.814,Inf,90.0,250.0,1.0,2.0218e-24,Inf,3
Diethyl phthalate,-161.24,4.8549,17335.0,349.45,21.285,0.67126,234.03,0.40082,39.335,0.46039,176.98,5.5812,-54372.0,642.16,-61.297,1.2576,-79861.0,1037.2,-120.41,2.2585,90.0,250.0,1.0,2.2589e-6,2.2589e-6,4
Dibenzothiophene,-170.36,11.355,17217.0,845.95,22.83,1.5641,246.95,1.5573,50.621,2.1035,189.82,13.005,-44430.0,1865.3,-39.518,3.559,-74221.0,2808.9,-107.7,5.9246,90.0,250.0,1.0,1.2264e-5,1.2264e-5,4
Anthrachinon,-135.51,Inf,16199.0,Inf,17.705,Inf,283.34,Inf,48.794,Inf,147.21,Inf,-52769.0,Inf,-48.917,Inf,-81230.0,Inf,-111.75,Inf,90.0,250.0,1.0,6.5448e-23,Inf,3
1-Benzofuran,-50.096,Inf,8116.9,Inf,5.8052,Inf,112.49,Inf,25.3,Inf,48.267,Inf,-48874.0,Inf,-80.828,Inf,-49960.0,Inf,-83.728,Inf,90.0,250.0,1.0,2.0747e-24,Inf,3
"2,3-Dimethylphenol",-117.91,29.075,13135.0,1827.7,15.404,4.0954,172.36,0.20532,31.64,0.54496,128.07,34.051,-52156.0,899.61,-71.164,2.0171,-62704.0,2945.6,-97.341,7.2469,90.0,250.0,0.99997,8.4084e-5,8.4084e-5,4
Coumarin,-37.002,Inf,9052.1,Inf,4.0231,Inf,248.57,Inf,39.146,Inf,33.45,Inf,-57812.0,Inf,-64.903,Inf,-63116.0,Inf,-77.022,Inf,90.0,250.0,1.0,1.6625e-28,Inf,3
