Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Valerophenone,-74.339,5.2995,10516.0,391.89,9.7189,0.73011,247.04,0.71286,49.559,0.85428,80.808,6.0705,-45397.0,792.36,-31.891,1.5091,-58087.0,1246.7,-60.931,2.6599,90.0,781.0,1.0,2.6724e-6,2.6724e-6,4
Cinnamaldehyde,-87.486,6.2249,11600.0,486.41,11.557,0.85235,269.39,1.335,55.22,1.5019,96.089,7.0868,-44319.0,1224.9,-26.31,2.2308,-61556.0,1785.8,-64.884,3.6361,90.0,781.0,1.0,3.6421e-6,3.6421e-6,4
Butyl benzoate,-71.5,5.8327,10271.0,425.04,9.32,0.80498,240.76,0.67752,48.185,0.83834,77.49,6.693,-45571.0,801.92,-33.297,1.5472,-57254.0,1294.8,-60.204,2.7981,90.0,781.0,1.0,3.2485e-6,3.2485e-6,4
Diphenylether,-76.907,5.3879,10868.0,415.19,10.076,0.73877,264.35,1.0305,52.99,1.1384,83.778,6.1424,-45332.0,989.27,-28.959,1.819,-59939.0,1470.7,-61.81,3.0312,90.0,781.0,1.0,2.7361e-6,2.7361e-6,4
Acenaphthylene,-85.207,4.0419,11550.0,340.3,11.288,0.5492,298.41,1.4428,64.069,1.5645,93.852,4.5663,-42394.0,1057.1,-18.794,1.8208,-61953.0,1448.9,-61.36,2.7838,90.0,781.0,1.0,1.5121e-6,1.5121e-6,4
1-Bromonaphthalene,-77.931,6.1004,11045.0,511.03,10.278,0.82916,297.38,2.1116,62.824,2.2278,85.459,6.894,-43079.0,1560.6,-20.128,2.6921,-60802.0,2151.1,-58.735,4.1502,90.0,781.0,1.0,3.4466e-6,3.4466e-6,4
Dibenzofuran,-84.979,8.2192,11753.0,702.14,11.211,1.1151,304.28,3.0792,63.155,3.168,93.212,9.2716,-43896.0,2251.2,-20.64,3.8348,-63869.0,3060.4,-63.869,5.8177,90.0,781.0,1.0,6.2339e-6,6.2339e-6,4
"1,3-Dinitrobenzol",-72.386,Inf,11703.0,Inf,9.2749,Inf,314.87,Inf,55.332,Inf,77.116,Inf,-51957.0,Inf,-32.98,Inf,-69298.0,Inf,-70.146,Inf,90.0,781.0,1.0,3.6763e-22,Inf,3
Fluorene,-80.73,7.0295,11634.0,612.08,10.595,0.9518,312.27,2.8526,63.1,2.7799,88.095,7.9137,-45158.0,2037.5,-21.759,3.419,-64739.0,2744.0,-63.826,5.1455,90.0,781.0,1.0,4.5415e-6,4.5415e-6,4
Diphenylamine,-111.08,Inf,14933.0,Inf,14.508,Inf,323.83,Inf,56.821,Inf,120.62,Inf,-52148.0,Inf,-31.975,Inf,-80354.0,Inf,-91.932,Inf,90.0,781.0,1.0,6.7842e-29,Inf,3
