Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Diphenylether,-19.727,41.1,6870.0,2590.3,1.6178,5.7869,173.62,0.30861,32.47,0.83913,13.451,48.115,-51111.0,1322.8,-68.494,2.9576,-52235.0,4235.1,-71.281,10.4,90.0,250.0,0.99993,0.00016788,0.00016788,4
Acenaphthylene,-18.502,15.024,6714.3,965.8,1.5205,2.109,183.22,0.18749,34.594,0.46038,12.643,17.535,-50056.0,667.42,-63.776,1.4604,-51235.0,1765.6,-66.665,4.2643,90.0,250.0,0.99999,2.2297e-5,2.2297e-5,4
1-Bromonaphthalene,-29.312,27.154,7415.4,1761.3,3.0552,3.8066,187.52,0.43228,35.323,0.96403,25.403,31.65,-49953.0,1366.5,-62.527,2.9612,-52430.0,3375.8,-68.569,8.0902,90.0,250.0,0.99997,7.2643e-5,7.2643e-5,4
Dibenzofuran,-45.097,Inf,8539.6,Inf,5.2515,Inf,191.9,Inf,35.469,Inf,43.663,Inf,-50697.0,Inf,-63.106,Inf,-55146.0,Inf,-73.905,Inf,90.0,250.0,1.0,1.2822e-22,Inf,3
1-Naphthol,-68.068,18.093,10126.0,1174.2,8.4164,2.5362,187.73,0.28019,34.003,0.60507,69.978,21.087,-51939.0,926.41,-66.788,2.0066,-58778.0,2260.1,-83.465,5.4119,90.0,250.0,0.99999,3.2247e-5,3.2247e-5,4
"1,3-Dinitrobenzol",-50.404,6.6696,8860.1,426.02,5.9475,0.93715,180.1,0.068156,33.327,0.17595,49.451,7.7919,-51253.0,271.04,-67.171,0.59726,-55709.0,752.64,-78.13,1.8274,90.0,250.0,1.0,4.4028e-6,4.4028e-6,4
Fluorene,-50.465,12.123,9057.6,809.08,5.9863,1.6925,201.06,0.35979,36.161,0.59084,49.773,14.072,-51706.0,848.47,-63.128,1.7835,-57234.0,1779.2,-76.41,4.1579,90.0,250.0,0.99999,1.436e-5,1.436e-5,4
Diphenylamine,-68.518,11.928,10539.0,799.01,8.4172,1.6644,202.73,0.36127,34.662,0.55294,69.984,13.839,-54322.0,870.48,-68.243,1.823,-62212.0,1787.9,-87.163,4.1634,90.0,250.0,1.0,1.3888e-5,1.3888e-5,4
1-Nitronaphthalene,-48.594,15.824,9051.2,1062.1,5.6971,2.2075,203.73,0.51477,35.901,0.79274,47.369,18.354,-52667.0,1168.5,-64.533,2.4416,-58054.0,2393.4,-77.438,5.566,90.0,250.0,0.99999,2.4429e-5,2.4429e-5,4
Benzophenone,-64.75,9.6875,10257.0,651.87,7.912,1.3509,204.87,0.32267,35.29,0.48093,65.784,11.232,-53836.0,737.27,-66.715,1.5367,-61393.0,1487.2,-84.795,3.4496,90.0,250.0,1.0,9.1492e-6,9.1492e-6,4
2-phenylethenylbenzene,-65.404,14.33,10556.0,984.33,7.9614,1.9926,214.47,0.65622,35.626,0.83115,66.194,16.568,-55493.0,1303.2,-67.895,2.6595,-63732.0,2442.5,-87.404,5.5633,90.0,250.0,0.99999,1.9906e-5,1.9906e-5,4
Hexachlorbenzol,-56.577,12.393,9781.4,857.16,6.8061,1.7216,217.71,0.65373,37.412,0.82292,56.589,14.315,-53549.0,1186.5,-63.183,2.404,-60776.0,2182.2,-80.237,4.9412,90.0,250.0,1.0,1.4859e-5,1.4859e-5,4
Phenanthrene,123.22,101.12,-573.82,6922.8,-18.828,14.064,214.02,3.54,27.602,3.1757,-156.54,116.93,-71490.0,8290.6,-100.84,16.917,-52077.0,16679.0,-54.85,38.279,90.0,250.0,0.99971,0.00099159,0.00099159,4
Dibutyl Phthalate,-102.19,6.0052,14101.0,436.11,12.853,0.82914,239.24,0.49073,34.935,0.44757,106.87,6.8939,-62484.0,809.41,-76.039,1.5667,-78433.0,1314.9,-112.83,2.8498,90.0,250.0,1.0,3.4464e-6,3.4464e-6,4
Carbazole,-92.388,16.503,12483.0,1179.3,11.759,2.2833,232.04,1.2939,39.011,1.4338,97.771,18.984,-54394.0,2018.6,-61.764,3.9671,-68281.0,3381.1,-94.039,7.4305,90.0,250.0,0.99999,2.6136e-5,2.6136e-5,4
Fluoranthene,51.924,Inf,4137.5,Inf,-8.6947,Inf,246.35,Inf,31.184,Inf,-72.292,Inf,-71957.0,Inf,-92.603,Inf,-60654.0,Inf,-66.719,Inf,90.0,250.0,1.0,3.655e-27,Inf,3
Pyrene,-55.089,Inf,10655.0,Inf,6.4826,Inf,263.07,Inf,40.053,Inf,53.899,Inf,-59688.0,Inf,-65.405,Inf,-69016.0,Inf,-86.411,Inf,90.0,250.0,1.0,4.3477e-26,Inf,3
4-Methyl-2-Nitrophenol,-28.444,12.448,6855.6,749.07,2.9426,1.7656,151.01,0.10096,32.085,0.092785,24.466,14.68,-46623.0,136.64,-64.01,0.31894,-48116.0,906.08,-67.809,2.3021,90.0,250.0,0.99999,1.5627e-5,1.5627e-5,4
2-Nitrotoluol,63.728,31.114,1249.5,1819.5,-10.181,4.4346,136.87,0.22465,30.995,0.37383,-84.653,36.871,-45098.0,546.16,-64.081,1.3279,-41130.0,1812.1,-53.805,4.6686,90.0,250.0,0.99995,9.8587e-5,9.8587e-5,4
Butyrophenone,-7.8999,5.9473,5830.3,357.2,-0.058762,0.84384,150.05,0.046181,30.588,0.039823,-0.48857,7.0161,-48683.0,64.265,-69.127,0.15029,-48653.0,426.19,-69.052,1.0841,90.0,250.0,1.0,3.5697e-6,3.5697e-6,4
Indole,-12.282,32.172,6128.6,1960.2,0.58686,4.5541,157.1,0.24175,31.503,0.29564,4.8794,37.865,-48857.0,461.78,-67.646,1.0676,-49184.0,2582.4,-68.474,6.5083,90.0,250.0,0.99995,0.00010397,0.00010397,4
Biphenyl,-8.5499,36.57,6070.6,2292.2,0.06596,5.1534,170.96,0.25881,32.647,0.68657,0.54842,42.848,-50230.0,1058.0,-67.196,2.3795,-50275.0,3626.6,-67.307,8.9454,90.0,250.0,0.99994,0.00013314,0.00013314,4
"2,4-Dinitrotoluol",-60.397,10.416,9741.3,681.49,7.3204,1.4584,191.6,0.19509,34.073,0.37944,60.865,12.126,-52707.0,588.61,-67.5,1.2638,-58891.0,1365.8,-82.515,3.2478,90.0,250.0,1.0,1.0663e-5,1.0663e-5,4
Benzyl benzoate,-74.671,22.076,11429.0,1535.4,9.1956,3.0648,220.14,1.1737,35.302,1.3556,76.457,25.482,-57311.0,2217.6,-70.273,4.47,-67261.0,3996.5,-93.69,9.0015,90.0,250.0,0.99999,4.7088e-5,4.7088e-5,4
Benzo[h]quinoline,-59.678,17.006,10163.0,1202.0,7.2239,2.3558,227.62,1.1837,38.312,1.3287,60.063,19.587,-54422.0,1904.9,-62.768,3.7778,-62688.0,3307.0,-82.069,7.347,90.0,250.0,0.99999,2.7821e-5,2.7821e-5,4
Anthracene,-61.349,0.21452,10228.0,15.177,7.4733,0.029713,228.02,0.015241,38.744,0.017241,62.137,0.24705,-53901.0,24.21,-61.644,0.047973,-62477.0,41.903,-81.66,0.093008,90.0,250.0,1.0,4.426e-9,4.426e-9,4
Acridine,-53.578,9.5931,9830.0,679.36,6.3537,1.3286,228.59,0.67575,37.902,0.73737,52.828,11.046,-55225.0,1084.7,-64.159,2.1465,-62546.0,1879.4,-81.236,4.1695,90.0,250.0,1.0,8.8486e-6,8.8486e-6,4
Diphenylsulfoxide,-89.478,3.1692,12341.0,228.9,11.357,0.43787,236.82,0.28024,39.711,0.29856,94.424,3.6407,-54453.0,413.75,-60.869,0.80492,-68317.0,678.82,-92.93,1.4781,90.0,250.0,1.0,9.6119e-7,9.6119e-7,4
1-Methylanthracene,-79.55,16.475,11759.0,1208.2,9.975,2.2719,243.74,1.7022,40.463,1.7021,82.937,18.89,-54900.0,2337.6,-60.305,4.4816,-67651.0,3744.4,-89.583,8.0509,90.0,250.0,0.99999,2.5876e-5,2.5876e-5,4
"2,4,6-Trichlorophenol",-43.694,7.2426,8089.6,449.79,5.0632,1.0221,166.46,0.050541,32.957,0.11579,42.098,8.4981,-48754.0,171.66,-64.996,0.38987,-51973.0,672.06,-73.039,1.6699,90.0,250.0,1.0,5.2371e-6,5.2371e-6,4
Diethyl phthalate,-72.068,4.5667,10894.0,302.19,8.844,0.63834,196.98,0.10446,32.811,0.17177,73.533,5.3075,-56007.0,294.27,-73.225,0.62425,-63874.0,639.84,-92.21,1.5062,90.0,250.0,1.0,2.0428e-6,2.0428e-6,4
Dibenzothiophene,-67.008,17.252,10452.0,1214.0,8.3015,2.3914,225.49,1.1728,39.387,1.4018,69.022,19.883,-52486.0,1884.3,-59.352,3.7544,-61838.0,3294.5,-81.236,7.3446,90.0,250.0,0.99999,2.8668e-5,2.8668e-5,4
Anthrachinon,-84.893,11.799,12256.0,875.85,10.697,1.6247,248.91,1.3531,40.851,1.3031,88.938,13.508,-55472.0,1792.7,-60.348,3.4006,-69606.0,2811.7,-92.63,5.982,90.0,250.0,1.0,1.3233e-5,1.3233e-5,4
Anthrone,-78.295,5.143,11791.0,379.31,9.7745,0.70871,246.28,0.55329,40.188,0.53448,81.269,5.8926,-55820.0,751.84,-61.557,1.4338,-68521.0,1194.2,-90.644,2.5556,90.0,250.0,1.0,2.518e-6,2.518e-6,4
"2,3-Dimethylphenol",86.642,65.839,31.908,3851.1,-13.496,9.3832,137.02,0.46433,30.218,0.74341,-112.21,78.017,-46290.0,1143.6,-66.949,2.7794,-41015.0,3841.0,-53.288,9.8955,90.0,250.0,0.99979,0.00044139,0.00044139,4
Coumarin,-41.512,22.813,8133.9,1459.5,4.7594,3.2047,180.89,0.25145,34.515,0.65862,39.572,26.645,-49662.0,949.25,-63.469,2.088,-53258.0,2601.4,-72.308,6.3076,90.0,250.0,0.99998,5.1485e-5,5.1485e-5,4
