Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
"1,2,4,5-Tetrachlorbenzol",-15.238,25.211,6424.1,1595.9,1.0559,3.5472,175.75,0.21339,33.867,0.59997,8.7792,29.493,-49472.0,877.7,-64.3,1.9531,-50225.0,2677.1,-66.161,6.5502,90.0,250.0,0.99997,6.3081e-5,6.3081e-5,4
Valerophenone,-30.922,25.275,7646.7,1597.6,3.1747,3.5571,175.04,0.19823,32.275,0.53518,26.396,29.575,-51748.0,859.31,-69.552,1.9152,-53993.0,2657.9,-75.106,6.5108,90.0,250.0,0.99997,6.3431e-5,6.3431e-5,4
Cinnamaldehyde,-43.646,6.3354,8080.3,394.11,5.0628,0.89383,167.27,0.044351,33.154,0.10619,42.094,7.4317,-48645.0,156.11,-64.542,0.35393,-51897.0,595.14,-72.662,1.4768,90.0,250.0,1.0,4.0052e-6,4.0052e-6,4
Butyl benzoate,-35.871,16.667,8005.3,1055.4,3.8587,2.345,175.93,0.13492,32.152,0.36059,32.083,19.497,-52152.0,585.73,-70.223,1.3029,-54909.0,1774.9,-77.037,4.3411,90.0,250.0,0.99999,2.7567e-5,2.7567e-5,4
Diphenylether,-34.161,15.73,7836.5,1009.9,3.6732,2.2085,182.59,0.18502,33.703,0.45198,30.541,18.363,-51238.0,688.39,-66.52,1.5084,-54066.0,1834.4,-73.456,4.4347,90.0,250.0,0.99999,2.4452e-5,2.4452e-5,4
Acenaphthylene,-43.738,10.435,8346.8,689.16,5.1166,1.4589,196.13,0.25996,37.038,0.4882,42.542,12.13,-49435.0,653.9,-59.436,1.3898,-53950.0,1444.4,-70.342,3.4068,90.0,250.0,1.0,1.0671e-5,1.0671e-5,4
1-Bromonaphthalene,-45.303,8.5402,8518.5,569.35,5.331,1.1925,200.55,0.25733,37.441,0.44173,44.324,9.9149,-49831.0,590.39,-59.286,1.2424,-54731.0,1245.5,-71.066,2.9138,90.0,250.0,1.0,7.1289e-6,7.1289e-6,4
Dibenzofuran,-57.259,6.5525,9437.1,441.4,6.9781,0.9136,205.4,0.23667,37.557,0.37084,58.019,7.5961,-50700.0,503.11,-60.035,1.0474,-57395.0,1011.5,-76.046,2.3441,90.0,250.0,1.0,4.1844e-6,4.1844e-6,4
1-Naphthol,-76.401,12.631,10702.0,842.56,9.6314,1.7636,200.71,0.37421,36.583,0.63438,80.08,14.663,-51034.0,888.64,-61.79,1.8695,-59900.0,1852.3,-83.1,4.3284,90.0,250.0,0.99999,1.5593e-5,1.5593e-5,4
"1,3-Dinitrobenzol",-68.457,16.863,10369.0,1119.4,8.4455,2.3561,198.45,0.43493,34.826,0.73406,70.22,19.59,-53097.0,1123.4,-66.681,2.3754,-60712.0,2404.6,-85.031,5.6448,90.0,250.0,0.99999,2.7829e-5,2.7829e-5,4
Fluorene,-57.751,11.337,9705.3,780.46,7.0114,1.5759,215.53,0.57153,38.033,0.75816,58.296,13.103,-52206.0,1047.8,-60.923,2.1333,-59524.0,1952.6,-78.231,4.4391,90.0,250.0,1.0,1.2451e-5,1.2451e-5,4
