Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Fluoranthene,-69.562,Inf,12007.0,Inf,8.4494,Inf,279.43,Inf,41.61,Inf,70.252,Inf,-61014.0,Inf,-64.508,Inf,-74322.0,Inf,-93.999,Inf,90.0,250.0,1.0,5.6881000000000005e-24,Inf,3
4-Methyl-2-Nitrophenol,-95.538,16.52,10993.0,1014.5,12.471,2.3355,160.97,0.12585,33.779,0.21228,103.69,19.418,-46388.0,292.76,-60.948,0.67225,-53746.0,1409.1,-79.456,3.531,90.0,250.0,0.99999,2.7344e-5,2.7344e-5,4
2-Nitrotoluol,-23.406,24.475,6626.4,1459.3,2.1749,3.477,146.44,0.19185,30.813,0.17639,18.083,28.909,-47507.0,275.41,-67.314,0.65022,-48528.0,1654.9,-69.926,4.2269,90.0,250.0,0.99997,6.0606e-5,6.0606e-5,4
Butyrophenone,-50.212,11.069,8560.0,675.04,5.912,1.5667,157.54,0.080957,30.846,0.099364,49.155,13.026,-50001.0,162.16,-70.186,0.37461,-53321.0,894.73,-78.57,2.2534,90.0,250.0,0.99999,1.2305e-5,1.2305e-5,4
Indole,-49.582,7.9889,8654.9,504.14,5.8587,1.1246,174.23,0.062544,33.172,0.17448,48.712,9.3506,-50168.0,264.26,-66.228,0.59005,-54271.0,830.84,-76.389,2.0379,90.0,250.0,1.0,6.3405e-6,6.3405e-6,4
Biphenyl,-43.139,18.161,8433.4,1162.1,4.9179,2.5511,180.96,0.19357,33.26,0.48775,40.89,21.211,-51551.0,757.25,-67.613,1.6655,-55270.0,2072.8,-76.752,5.0253,90.0,250.0,0.99999,3.2627e-5,3.2627e-5,4
"2,4-Dinitrotoluol",-77.503,7.3215,11392.0,498.52,9.62,1.0193,210.32,0.28755,34.675,0.38251,79.985,8.4752,-56048.0,621.87,-70.021,1.2807,-65672.0,1195.9,-92.911,2.7444,90.0,250.0,1.0,5.209e-6,5.209e-6,4
Benzyl benzoate,-77.501,15.077,12101.0,1083.9,9.503,2.0842,235.11,1.1506,35.526,1.1007,79.013,17.329,-60458.0,1893.0,-73.043,3.6951,-71923.0,3156.7,-99.605,6.9079,90.0,250.0,0.99999,2.1777e-5,2.1777e-5,4
Benzo[h]quinoline,-74.741,2.5643,11550.0,190.3,9.2913,0.35309,249.06,0.29386,40.715,0.27909,77.252,2.9358,-55689.0,386.85,-60.733,0.73347,-67976.0,609.15,-88.795,1.297,90.0,250.0,1.0,6.2502e-7,6.2502e-7,4
Anthracene,-61.95,29.115,10720.0,2145.7,7.4903,4.012,246.37,3.086,39.524,2.8854,62.278,33.358,-56779.0,4199.7,-63.383,8.0051,-66518.0,6718.9,-85.684,14.401,90.0,250.0,0.99998,8.0695e-5,8.0695e-5,4
