Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Hexachlorbenzol,737.85,Inf,-39376.0,Inf,-104.86,Inf,241.32,Inf,18.165,Inf,-871.85,Inf,-121150.0,Inf,-180.1,Inf,10781.0,Inf,123.58,Inf,90.0,781.0,1.0,7.257499999999999e-28,Inf,3
Phenanthrene,-54.693,11.568,10130.0,975.62,6.888,1.5701,303.6,3.6814,54.022,3.0525,57.27,13.054,-51195.0,2965.7,-33.386,5.0476,-63428.0,4109.7,-59.879,7.9051,90.0,781.0,1.0,1.2358e-5,1.2358e-5,4
Dibutyl Phthalate,-55.126,Inf,11212.0,Inf,6.6019,Inf,287.34,Inf,41.821,Inf,54.891,Inf,-62458.0,Inf,-56.054,Inf,-73290.0,Inf,-79.877,Inf,90.0,781.0,1.0,4.9657e-23,Inf,3
Carbazole,-33.215,Inf,8796.8,Inf,3.8432,Inf,294.14,Inf,48.637,Inf,31.954,Inf,-55014.0,Inf,-41.598,Inf,-61537.0,Inf,-55.851,Inf,90.0,781.0,1.0,1.764e-22,Inf,3
Pyrene,-62.546,Inf,11532.0,Inf,7.8782,Inf,349.64,Inf,58.544,Inf,65.503,Inf,-55085.0,Inf,-33.07,Inf,-72092.0,Inf,-68.402,Inf,90.0,781.0,1.0,2.5606e-27,Inf,3
4-Methyl-2-Nitrophenol,-27.817,10.573,6765.1,713.26,3.2992,1.4739,206.18,0.46295,44.323,0.83322,27.431,12.255,-43100.0,814.49,-34.537,1.6926,-46286.0,1640.9,-42.151,3.8,90.0,781.0,0.99999,1.0891e-5,1.0891e-5,4
2-Nitrotoluol,6.9986,27.476,4391.3,1772.0,-1.6202,3.855,184.81,0.44017,40.856,1.2126,-13.471,32.052,-42680.0,1269.4,-37.818,2.7675,-41403.0,3293.1,-34.693,7.9331,90.0,781.0,0.99995,7.45e-5,7.45e-5,4
Butyrophenone,-25.918,18.366,6796.9,1228.4,2.9653,2.5633,202.15,0.65853,41.932,1.2145,24.655,21.312,-44794.0,1303.3,-38.865,2.7327,-47559.0,2723.1,-45.5,6.3542,90.0,781.0,0.99998,3.2938e-5,3.2938e-5,4
Indole,-28.229,16.551,6700.2,1117.2,3.389,2.3069,206.46,0.74829,45.327,1.3708,28.177,19.181,-42194.0,1282.8,-32.597,2.6642,-45476.0,2577.1,-40.435,5.9647,90.0,781.0,0.99998,2.668e-5,2.668e-5,4
Biphenyl,-38.03,13.022,7941.5,932.68,4.6602,1.8008,233.82,1.2536,46.069,1.5516,38.747,14.973,-46386.0,1579.0,-36.118,3.0898,-51958.0,2674.8,-49.045,5.8782,90.0,781.0,0.99999,1.6257e-5,1.6257e-5,4
