Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
4-Chloranilin,-305.72,422.4,24133.0,29553.0,42.295,58.677,217.1,41.397,70.729,132.43,351.66,487.87,-28253.0,53115.0,-11.723,108.02,-72949.0,83767.0,-117.25,185.13,90.0,250.0,0.99319,0.01726,0.01726,4
Chinolin,-300.96,501.77,22284.0,34118.0,42.119,69.966,204.43,49.015,105.16,311.4,350.19,581.73,-18034.0,53532.0,8.1468,111.89,-58105.0,87854.0,-87.774,198.69,90.0,250.0,0.98153,0.024541,0.024541,4
2-Methylnaphthalen,-304.07,516.88,22210.0,34920.0,42.645,72.134,201.59,49.616,114.68,370.54,354.57,599.76,-16340.0,52905.0,11.489,111.27,-55905.0,87792.0,-83.515,199.61,90.0,250.0,0.97765,0.026085,0.026085,4
"1,2,4,5-Tetrachlorbenzol",-287.61,493.14,21491.0,33622.0,40.227,68.736,205.77,49.47,103.03,295.69,334.46,571.5,-18510.0,53263.0,7.258,111.0,-57230.0,87261.0,-85.291,196.97,90.0,250.0,0.98219,0.023685,0.023685,4
Valerophenone,-298.34,462.24,22727.0,32162.0,41.561,64.279,213.31,54.124,94.308,262.41,345.55,534.45,-20863.0,58236.0,3.02,119.43,-63474.0,90875.0,-98.0,201.3,90.0,250.0,0.9881,0.020714,0.020714,4
Cinnamaldehyde,-267.1,463.2,20695.0,32325.0,37.19,64.38,215.15,57.114,94.056,260.42,309.21,535.28,-21078.0,58568.0,2.7422,119.62,-59778.0,91675.0,-88.823,202.75,90.0,250.0,0.98715,0.020778,0.020778,4
Butyl benzoate,-297.72,466.88,22671.0,32178.0,41.474,64.986,210.32,47.173,89.227,221.17,344.83,540.32,-21781.0,54158.0,0.85649,111.76,-63272.0,86964.0,-97.827,194.49,90.0,250.0,0.98776,0.021172,0.021172,4
Diphenylether,-269.39,458.68,20857.0,32531.0,37.515,63.656,219.9,70.674,103.01,344.04,311.92,529.26,-19623.0,65781.0,6.1095,133.05,-60140.0,98934.0,-89.273,215.42,90.0,250.0,0.98756,0.020314,0.020314,4
Acenaphthylene,-208.33,437.9,17353.0,33024.0,28.853,60.373,242.19,115.95,106.89,435.94,239.9,501.97,-20657.0,84756.0,5.8235,163.72,-57166.0,119630.0,-78.141,248.11,90.0,250.0,0.98939,0.018273,0.018273,4
1-Bromonaphthalene,-204.88,436.22,17192.0,33498.0,28.358,60.046,247.4,132.78,111.48,502.51,235.78,499.25,-20210.0,91679.0,7.084,175.28,-57323.0,127300.0,-77.815,260.48,90.0,250.0,0.98969,0.018075,0.018075,4
