Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
2-heptanone,387.18,-13813.0,-58.465,-96.904,-8.8536,-486.1,29171.0,219.04,-61684.0,-132.38,90.0,625.0,-0.35083,ketone
trans-5-decene,283.39,-8860.9,-42.997,-140.52,-5.5706,-357.49,26257.0,251.49,-56151.0,-108.58,90.0,625.0,-0.32854,alkene
2-nonanol,223.93,-5845.7,-34.167,-179.38,-3.3284,-284.08,21965.0,287.77,-54561.0,-96.867,90.0,625.0,-0.29428,alcohol
methyl nonanoate,199.79,-4573.6,-30.509,-199.69,-2.3137,-253.66,19393.0,317.51,-54091.0,-87.859,90.0,625.0,-0.26516,FAME
undecanal,178.96,-3517.9,-27.374,-216.36,-1.6424,-227.6,16325.0,341.0,-53405.0,-81.321,90.0,625.0,-0.23543,aldehyde
n-pentadecane,176.76,-3233.7,-26.93,-223.53,-1.2973,-223.91,15777.0,371.51,-54427.0,-74.185,90.0,625.0,-0.21517,alkane
