Compound name,A,B,C,Cat
decane,281.3058,-8755.5992,-42.6836,alkane
1-octanol,233.3362,-6305.8873,-35.5893,alcohol
undecane,234.6506,-6436.7803,-35.7106,alkane
"2,6- dimethylaniline",165.9069,-3198.6904,-25.4716,
methyl decanoate,188.9939,-3977.4551,-28.8409,FAME
methyl laurate,173.5277,-3033.03,-26.4505,FAME
