Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Naphthalene,143.8,-2224.6,-22.157,-233.16,-1.1945,-184.22,1916.6,182.42,90.0,625.0,-0.20387
Acenaphthylene,108.55,-174.42,-16.864,-271.24,-0.025748,-140.22,-11169.0,131.33,90.0,625.0,-0.024272
Acenaphthene,106.65,-11.197,-16.585,-273.07,-0.00062516,-137.89,-12317.0,128.34,90.0,625.0,-0.0016042
Fluorene,102.52,324.52,-15.954,159.34,25.891,-132.65,-14636.0,122.86,90.0,625.0,0.049298
Fluoranthene,71.833,2535.4,-11.417,212.32,29.175,-94.93,-29624.0,75.159,90.0,625.0,0.72273
Pyrene,72.706,2452.1,-11.5,217.87,29.769,-95.62,-28994.0,78.621,90.0,625.0,0.67037
Benzo[a]pyrene,128.37,-845.01,-19.064,-262.03,-0.1952,-158.51,-7239.8,195.54,90.0,625.0,-0.073962
