Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Decane,279.93,-8706.1,-42.474,-141.96,-5.4925,-353.15,26055.0,252.13,-55860.0,-107.43,90.0,625.0,-0.32753,alkane
1-Octanol,231.26,-6222.3,-35.277,-173.68,-3.6464,-293.31,22560.0,280.33,-54780.0,-99.493,90.0,625.0,-0.30106,alcohol
Undecane,229.68,-6201.8,-34.978,-173.68,-3.6345,-290.82,22636.0,281.09,-54047.0,-95.506,90.0,625.0,-0.29985,alkane
"2,6-Dimethylaniline",161.79,-3004.0,-24.865,-220.07,-1.6731,-206.74,14003.0,317.32,-50101.0,-80.235,90.0,625.0,-0.23374,
Methyl decanoate,173.34,-3141.8,-26.578,-223.28,-1.3691,-220.98,15103.0,356.38,-54126.0,-82.362,90.0,625.0,-0.22149,FAME
Methyl laurate,154.5,-1967.8,-23.721,-244.36,-0.64479,-197.22,10684.0,424.7,-55260.0,-75.25,90.0,625.0,-0.16146,FAME
