Name,A,B,C,Cat
2-Octanone,-44.3601,7132.4427,5.2136,ketone
n-Decane,-43.0001,7127.1451,4.9951,alkane
1-Octanol,-64.6718,8612.4020,8.0621,alcohol
"2,4-Dimethylphenol",-83.1000,9865.2138,10.6961,aromatic
"2,6-Dimethylaniline",-59.5755,8403.0093,7.4122,amine
