Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
2-Octanone,-44.36,7132.4,5.2136,115.61,29.601,43.348,-55401.0,-130.42,90.0,160.0,-0.10426,ketone
n-Decane,-43.0,7127.1,4.9951,116.88,29.373,41.532,-55521.0,-129.11,90.0,160.0,-0.0943,alkane
1-Octanol,-64.672,8612.4,8.0621,129.48,30.209,67.032,-65575.0,-169.05,90.0,160.0,-0.18685,alcohol
"2,4-Dimethylphenol",-83.1,9865.2,10.696,144.27,32.263,88.932,-74020.0,-201.82,90.0,160.0,-0.24249,aromatic
"2,6-Dimethylaniline",-59.576,8403.0,7.4122,151.18,34.245,61.628,-64320.0,-156.39,90.0,160.0,-0.18471,amine
