Name,OutlierTest
Glyceryl triacetate,true
Glyceryl tributyrate,true
Glyceryl trihexanoate,true
Glyceryl trioctanoate,true
Glyceryl tridecanoate,false
Glyceryl trilaurate,true
Glyceryl trimyristine,false
Glyceryl tripalmitin,false
