Name,OutlierTest
Limonene,true
Linalool,true
Benzylalkohol,true
Geraniol,true
Citral A,true
Citral B,true
Cinnamaldehyde,true
Eugenol,true
Isomethyl-alpha-Ionon,true
Isoeugenol,true
Unknown_1,true
Unknown_2,true
Unknown_3,true
Benzylbenzoate,true
Benzylsalicylate,true
Benzylcinnamate,true
