Compound\T [?C] ->,39.841129032258,49.808870967742,59.715322580645,69.720161290323,79.906666666667,90.046666667,100.148888896666,110.211827951612,120.355555573333,130.490000006666,140.717777763333,150.793548393548,160.847777783333,170.80999999,180.784444446666,190.724444446666,200.502150529032,210.505555546666,220.597777773333,230.242222216666,240.224444429999,250.263440858064,260.330000003333,270.207526890322,280.098888883333,290.12888889,300.217777783333,120.433333332258,130.540860203225,140.718279567741,150.860000006666,160.878888896666,170.837634393548,180.8211111,190.678888906666,200.593333346666,210.734444439999,220.531111116666,230.413333336666,240.333333332258,250.216666666666,260.126666666666,270.29247312258,280.308888893333,290.061111113333,300.130000003333,39.78064516129,49.853225806452,59.743548387097,69.754838709677,190.587096774194,Cat
Naphthalene,4.15011940018489,3.65550950216422,3.35420569162304,3.00931482593311,2.63829783410455,2.2490139225178,1.85412735599125,1.46893203072841,0.983904097603967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19469979572405,3.66328404233182,3.369895382027,3.00909025080252,,PAH
Acenaphthylene,,,,,4.2811240848891,3.7883875099156,3.32307254720051,2.87960662586427,2.41969537086045,1.99987661600775,1.55420761591269,1.23343131333961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAH
Acenaphthene,,,,,4.47694229823972,3.97075285395276,3.49350969213226,3.04047143466477,2.5686582098866,2.13828719315968,1.69049412204429,1.27775966453993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAH
Fluorene,,,,,,,4.09155823090065,3.60822522377593,3.13069371284997,2.67825555722709,2.23751374009248,1.81846132348163,1.41279728508239,1.06890609098393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAH
Phenanthrene,,,,,,,,,4.18232569631782,3.69549107121254,3.22978630313918,2.78951735331381,2.37149274005561,1.97831912686338,1.53792281399599,1.20779197778335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14722173696004,PAH
Anthracene,,,,,,,,,4.24164096513192,3.752507742199,3.28565492238056,2.84118076256409,2.41433667383456,2.00554509700356,1.58882744737222,1.2332180302919,,,,,,,,,,,,4.25373652356728,3.76610990371206,3.3103590120454,2.87801155718432,2.47830971746172,2.10530255047264,1.76606360018261,1.51686240296089,,,,,,,,,,,,,,,,1.23462393858461,PAH
Fluoranthene,,,,,,,,,,,4.49892405202663,4.01665205508724,3.56081297024711,3.12898359551876,2.70853166786218,2.31807693189767,1.93053462919949,1.55787582307106,1.17201866410172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3178357497581,PAH
Pyrene,,,,,,,,,,,,4.23847969288337,3.77901597921538,3.34520930544041,2.92524207592265,2.52900552754373,2.14270847618089,1.77099209682888,1.36733118042559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53245068834185,PAH
Benz[a]anthracene,,,,,,,,,,,,,,,4.15878670882229,3.72060735847376,3.30082893356777,2.88773604756291,2.49848250075669,2.11744634120522,1.80670698465947,1.41225847567558,1.13363070798522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAH
Chrysene,,,,,,,,,,,,,,,4.19369314492924,3.75211639666704,3.32911705974779,2.92723422567717,2.52901475531063,2.14679554455193,1.80670698465947,1.41225847567558,1.13363070798522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAH
Benzo[b]fluoranthene,,,,,,,,,,,,,,,,,4.27828607975163,3.84506670856928,3.4328249610489,3.02936058521698,2.64466258546109,2.31220292820878,1.9564274337599,1.5748957629417,,,,,,,,,,,,4.33109978503479,3.89994181291039,3.48076777805206,3.09068672866582,2.71545894936633,2.36677562595599,2.02970564727872,1.82072052411173,1.60644133138887,1.42413907530774,,,,,,,PAH
Benzo[k]fluoranthene,,,,,,,,,,,,,,,,,4.31015565579186,3.87281602084325,3.45643815670911,3.05985272683027,2.68531786240468,2.31220292820878,1.9564274337599,1.5748957629417,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAH
Benzo[a]pyrene,,,,,,,,,,,,,,,,,4.55065069502508,4.11051694829519,3.69361752474838,3.29591839359414,2.92427106496248,2.54077870645151,2.1756317732606,1.80796068348182,1.48291337061677,,,,,,,,,,,,,,,,,,,,,,,,,,,PAH
"Indeno[1,2,3-cd]pyrene",,,,,,,,,,,,,,,,,,,,4.10720681991338,3.7059240261819,3.31417983449866,2.92992225874524,2.61452342008115,2.26607143367462,1.94796643064478,1.60333063473657,,,,,,,,,,,4.55720517368645,4.12815213133313,3.72012921397398,3.33976892278076,2.97248825714188,2.62591886223097,2.29231282696306,1.97551297956535,1.8637406275475,,,,,,PAH
"Dibenzo[a,h]anthracene",,,,,,,,,,,,,,,,,,,,4.17794137892995,3.76886516549558,3.36151880910181,2.98487570466411,2.63375419058297,2.30221192205304,1.98276836158122,1.64879112971024,,,,,,,,,,,,,,,,,,,,,,,,,PAH
"Benzo[g,h,i]perylene",,,,,,,,,,,,,,,,,,,,4.27343744759257,3.86641338867913,3.47021364742821,3.09781889494684,2.73532507636993,2.38317981243485,2.04515023938743,1.72365911218772,,,,,,,,,,,,,,,,,,,,,,,,,PAH
