Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl butyrate,6.8041e-314,39.841,6.8041e-314,5.0e-324,1.0e-323,0.0,-331.26,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Methyl hexanoate,6.8041e-314,49.809,6.8041e-314,1.0e-323,1.5e-323,5.0e-324,-414.13,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Methyl octanoate,6.8041e-314,59.715,6.8041e-314,1.5e-323,2.0e-323,1.0e-323,-496.5,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Methyl decanoate,6.8041e-314,69.72,6.8041e-314,2.0e-323,2.5e-323,1.5e-323,-579.69,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Methyl undecanoate,6.8041e-314,79.907,6.8041e-314,2.5e-323,3.0e-323,2.0e-323,-664.38,4.3052e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Methyl laurate,6.8434e-314,90.047,6.8041e-314,3.0e-323,3.5e-323,2.5e-323,-748.69,4.3084e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Methyl tridecanoate,6.8434e-314,100.15,6.8434e-314,3.5e-323,4.0e-323,3.0e-323,-832.68,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl myristoleate,6.8434e-314,110.21,6.8434e-314,4.0e-323,4.4e-323,3.5e-323,-916.35,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl myristate,6.8434e-314,120.36,6.8434e-314,4.4e-323,5.0e-323,4.0e-323,-1000.7,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl cis-10-pentadecenoate,6.8434e-314,130.49,6.8434e-314,5.0e-323,5.4e-323,4.4e-323,-1085.0,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl pentadecanoate,6.8434e-314,140.72,6.8434e-314,5.4e-323,6.0e-323,5.0e-323,-1170.0,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl palmitoleate,6.8434e-314,150.79,6.8434e-314,6.0e-323,6.4e-323,5.4e-323,-1253.8,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl palmitate,6.8041e-314,160.85,6.8434e-314,6.4e-323,7.0e-323,6.0e-323,-1337.4,4.3268e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
cis-10-Heptadecenoic acid methyl ester,6.8434e-314,170.81,6.8041e-314,7.0e-323,7.4e-323,6.4e-323,-1420.2,4.3084e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
Methyl heptadecanoate,6.8434e-314,180.78,6.8434e-314,7.4e-323,8.0e-323,7.0e-323,-1503.1,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl gamma-linolenate,6.8434e-314,190.72,6.8434e-314,8.0e-323,8.4e-323,7.4e-323,-1585.8,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl linolelaidate,6.8434e-314,200.5,6.8434e-314,8.4e-323,9.0e-323,8.0e-323,-1667.1,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl linoleate,6.8434e-314,210.51,6.8434e-314,9.0e-323,9.4e-323,8.4e-323,-1750.2,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl linolenate,6.8434e-314,220.6,6.8434e-314,9.4e-323,1.0e-322,9.0e-323,-1834.2,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
trans-9-Elaidic acid methyl ester,6.8434e-314,230.24,6.8434e-314,1.0e-322,1.04e-322,9.4e-323,-1914.3,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
cis-9-Oleic acid methyl ester,6.8434e-314,240.22,6.8434e-314,1.04e-322,1.1e-322,1.0e-322,-1997.3,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl stearate,6.8434e-314,250.26,6.8434e-314,1.1e-322,1.14e-322,1.04e-322,-2080.8,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",6.8434e-314,260.33,6.8434e-314,1.14e-322,1.2e-322,1.1e-322,-2164.5,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",6.8434e-314,270.21,6.8434e-314,1.2e-322,1.24e-322,1.14e-322,-2246.6,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
"cis-11,14,17-Eicosatrienoic acid methyl ester",6.8041e-314,280.1,6.8434e-314,1.24e-322,1.3e-322,1.2e-322,-2328.9,4.3268e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
"cis-11,14-Eicosadienoic acid methyl ester",6.8434e-314,290.13,6.8041e-314,1.3e-322,1.33e-322,1.24e-322,-2412.3,4.3084e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
"cis-8,11,14-Eicosatrienoic acid methyl ester",6.8434e-314,300.22,6.8434e-314,1.33e-322,1.4e-322,1.3e-322,-2496.1,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl cis-11-eicosenoate,6.8434e-314,120.43,6.8434e-314,1.4e-322,1.43e-322,1.33e-322,-1001.3,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl arachidate,6.8434e-314,130.54,6.8434e-314,1.43e-322,1.5e-322,1.4e-322,-1085.4,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl heneicosanoate,6.8434e-314,140.72,6.8434e-314,1.5e-322,1.53e-322,1.43e-322,-1170.0,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",6.8434e-314,150.86,6.8434e-314,1.53e-322,1.6e-322,1.5e-322,-1254.3,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
"cis-13,16-Docosadienoic acid methyl ester",6.8434e-314,160.88,6.8434e-314,1.6e-322,1.63e-322,1.53e-322,-1337.6,4.33e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl erucate,6.8041e-314,170.84,6.8434e-314,1.63e-322,1.7e-322,1.6e-322,-1420.4,4.3268e-312,6.8434e-314,6.8434e-314,90.0,250.0,-0.0
Methyl-Docosanoat,6.8434e-314,180.82,6.8041e-314,1.7e-322,1.73e-322,1.63e-322,-1503.4,4.3084e-312,6.8042e-314,6.8042e-314,90.0,250.0,-0.0
