Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
2-Decanone,-84.992,9946.9,11.046,143.22,32.419,91.841,-44463.0,-60.877,-49351.0,-73.438,90.0,250.0,-0.24874
2-Undecanone,-87.876,10555.0,11.365,158.95,33.082,94.494,-46926.0,-62.691,-53442.0,-79.119,90.0,250.0,-0.25054
2-Dodecanone,-91.216,11180.0,11.753,173.73,33.69,97.72,-49286.0,-64.381,-57468.0,-84.655,90.0,250.0,-0.25331
2-Tridecanone,-96.288,11905.0,12.388,187.62,34.262,103.0,-51522.0,-65.908,-61577.0,-90.431,90.0,250.0,-0.2591
2-Pentadecanone,-102.39,13099.0,13.088,213.05,35.094,108.82,-56005.0,-69.282,-69395.0,-101.04,90.0,250.0,-0.26275
Propiophenone,-73.758,8949.2,9.5612,139.19,33.96,79.496,-41628.0,-55.047,-45539.0,-65.146,90.0,250.0,-0.23453
Butyrophenone,-77.485,9536.8,10.015,153.49,34.58,83.273,-43766.0,-56.675,-49053.0,-70.092,90.0,250.0,-0.23954
Valerophenone,-78.31,10017.0,10.043,169.11,35.084,83.505,-46353.0,-58.901,-52959.0,-75.358,90.0,250.0,-0.23647
Hexanophenone,-85.243,10846.0,10.944,183.79,35.719,90.994,-48602.0,-60.455,-57136.0,-81.36,90.0,250.0,-0.24791
Heptanophenone,-88.297,11445.0,11.294,197.56,36.151,93.901,-50960.0,-62.352,-61060.0,-86.714,90.0,250.0,-0.25005
Octanophenone,-93.461,12170.0,11.943,210.71,36.628,99.3,-53144.0,-63.926,-65130.0,-92.422,90.0,250.0,-0.25634
