Name,min,Tchar,Tchar_uncertainty,θchar,θchar_uncertainty,ΔCp,ΔCp_uncertainty,d,d_uncertainty
Methyl butyrate,0.0003467000282853996,326.9697622954239,0.8812541561550399,26.962930353114942,1.8289024961676945,91.87551536962884,466.4506558527955,0.0002471439652634367,7.052613585644966e-6
Methyl hexanoate,0.000397866476465639,368.8193018880884,0.707205691300002,29.471025178240993,2.32515245661488,87.2822449892258,114.1414368685806,0.0002471439652634367,7.052613585644966e-6
Methyl octanoate,0.0003000076050875346,404.8771409168471,0.9378295619643225,31.28522757903755,2.120650414570306,89.86187442750816,68.98574841026094,0.0002471439652634367,7.052613585644966e-6
Methyl decanoate,0.00015970082860833384,436.2662204280985,1.0347785970910046,32.59230429501077,2.084941317717485,93.88681881247508,61.299450677174356,0.0002471439652634367,7.052613585644966e-6
Methyl undecanoate,0.0003887483281712372,450.5490925059596,1.0879800926771663,33.25770054201311,2.1389752981684955,100.82763055908418,61.36177948689921,0.0002471439652634367,7.052613585644966e-6
Methyl laurate,0.00027674288069829995,463.9933386449479,1.1312786520409288,33.78411131399385,2.1770356280666574,104.96090263389732,61.88999195206819,0.0002471439652634367,7.052613585644966e-6
Methyl tridecanoate,0.00030910029887761686,476.6837384400937,1.1670299193737077,34.285856447893536,2.2092405422425427,110.25669481015002,62.49285176013887,0.0002471439652634367,7.052613585644966e-6
Methyl myristoleate,0.0004352885102429588,487.36240005166326,1.2079677057699147,34.96918631214665,2.241994458860715,110.18727102919866,61.53319370123148,0.0002471439652634367,7.052613585644966e-6
Methyl myristate,7.212561833242577e-5,488.68119007534636,1.1953645633826777,34.70186463504297,2.228823801171111,114.47759745822562,63.12667894896652,0.0002471439652634367,7.052613585644966e-6
Methyl cis-10-pentadecenoate,0.0005740691062858238,498.9376535458931,1.2317035060432227,35.45316735041872,2.260490598024717,116.7998921332694,61.82745787094275,0.0002471439652634367,7.052613585644966e-6
Methyl pentadecanoate,0.00015718084766492353,500.11431204366767,1.2185613314571784,35.15919105486333,2.2457401226414673,120.62218202286026,63.46223618060691,0.0002471439652634367,7.052613585644966e-6
Methyl palmitoleate,0.0006327313095048656,508.9919155016112,1.2586485745273355,35.7508230066648,2.274984378232279,116.60314567589705,62.43874952772009,0.0002471439652634367,7.052613585644966e-6
Methyl palmitate,0.00043819765166210674,510.9568566166212,1.2541750659864856,35.50215600156186,2.285756054147539,124.50723742796205,64.86490852851423,0.0002471439652634367,7.052613585644966e-6
cis-10-Heptadecenoic acid methyl ester,0.0009202570277870373,519.4773720095519,1.2985876475459508,36.132657135739684,2.328429283910474,122.2050247967773,63.97486263634207,0.0002471439652634367,7.052613585644966e-6
Methyl heptadecanoate,0.0005343434262345965,521.302067212494,1.2843238048155432,35.87915798663813,2.3207068711017604,130.22827557117813,65.91604704164021,0.0002471439652634367,7.052613585644966e-6
Methyl gamma-linolenate,0.00036400964448928214,527.0082084535755,1.3512300433593378,36.87015067018558,2.394852831441356,122.34950616000253,63.09339774818937,0.0002471439652634367,7.052613585644966e-6
Methyl linolelaidate,0.011732562115645186,528.2854878340166,1.3225410625034206,36.40542084503658,2.329066728927985,117.70809338319295,63.90958266197821,0.0002471439652634367,7.052613585644966e-6
Methyl linoleate,0.007193588860203828,528.9969603378901,1.3420793437301324,36.75451545787778,2.3706695775965567,121.83405095347838,63.42428540228222,0.0002471439652634367,7.052613585644966e-6
Methyl linolenate,0.001832565885427607,528.3032333278429,1.312221897851092,36.23697097589912,2.3459584892881744,129.9600985640853,65.88260939683657,0.0002471439652634367,7.052613585644966e-6
trans-9-Elaidic acid methyl ester,0.0004539499545110944,529.0573467048794,1.3237859105810448,36.49024862564228,2.350150997989793,125.65317017385998,64.51614733905261,0.0002471439652634367,7.052613585644966e-6
cis-9-Oleic acid methyl ester,8.8665576752528e-6,529.2988292513694,1.3141769758493116,36.27189833972768,2.339426570193471,127.61517248724783,65.58373064242068,0.0002471439652634367,7.052613585644966e-6
Methyl stearate,0.0001336803786466905,531.2178408531324,1.3135684240385883,36.23001848237803,2.35328506676369,135.16987572836746,66.9181045600136,0.0002471439652634367,7.052613585644966e-6
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",0.0008088334769999142,544.4264581531845,1.407916036157747,37.685251813394295,2.44691601598227,126.77035657970015,63.4259961945972,0.0002471439652634367,7.052613585644966e-6
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",0.0008213763361848345,544.8715857959559,1.406800512627817,37.66967897973828,2.431247865149502,122.52841466960487,63.001748621231314,0.0002471439652634367,7.052613585644966e-6
"cis-11,14,17-Eicosatrienoic acid methyl ester",0.000902900201826368,545.7861603588748,1.3920064638141059,37.42464890952394,2.422643821240169,129.13743322231414,64.53944043004152,0.0002471439652634367,7.052613585644966e-6
"cis-11,14-Eicosadienoic acid methyl ester",0.0033822376471121457,547.3365687148512,1.3828933790653613,37.31431043101171,2.4210676683683445,135.97337312337493,65.68577528953065,0.0002471439652634367,7.052613585644966e-6
"cis-8,11,14-Eicosatrienoic acid methyl ester",0.0009910431215264704,547.8866994880209,1.3944239077621918,37.41187710746954,2.4357321612522385,134.52548286718044,65.57247738239535,0.0002471439652634367,7.052613585644966e-6
Methyl cis-11-eicosenoate,0.0006421442189496616,547.595812812661,1.328358444907855,36.85604406431318,2.308128104262869,130.42807716941886,64.96508181738078,0.0002471439652634367,7.052613585644966e-6
Methyl arachidate,0.0009675693246688005,549.6604984712833,1.3540560532450614,36.77241126607164,2.386438701198967,143.689784773298,68.58797795448969,0.0002471439652634367,7.052613585644966e-6
Methyl heneicosanoate,0.002658294223262167,558.2284167506141,1.3658851639087075,36.93195516515953,2.3858805104155905,146.1390723435466,69.3688071588747,0.0002471439652634367,7.052613585644966e-6
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",0.0006747764366434156,561.2558635922527,1.4700457775843443,38.49286997391808,2.5242010210651262,135.8121748946682,64.49952382452732,0.0002471439652634367,7.052613585644966e-6
"cis-13,16-Docosadienoic acid methyl ester",0.0002474631259992125,564.7002303204667,1.4389475905500686,37.93678095596881,2.5021650456523408,150.4672649265816,68.19415490147935,0.0002471439652634367,7.052613585644966e-6
Methyl erucate,0.003266591038705078,564.8831942671176,1.406387765882087,37.47686147753973,2.426445652625376,142.86615761032732,68.45888272722947,0.0002471439652634367,7.052613585644966e-6
Methyl-Docosanoat,0.0005055452856219265,566.6430181805032,1.3735743707795205,37.33911643668097,2.4024046273661623,155.63461277398068,69.57235608574516,0.0002471439652634367,7.052613585644966e-6
Methyl tricosanoate,0.003149135313321809,574.5594725306344,1.3634430636023716,37.469637245146,2.393286055695123,157.74662774054372,70.49629051035689,0.0002471439652634367,7.052613585644966e-6
Methyl nervonate,0.0014744620728167515,580.815905870835,1.4015464847852501,37.994999468987416,2.4570967150456995,155.85398786049166,70.53161693546824,0.0002471439652634367,7.052613585644966e-6
Methyl lignocerate,0.0021247339010310533,582.2349990737822,1.434812188698712,37.637869221717914,2.5377919819690513,161.2255437020251,75.52685084535143,0.0002471439652634367,7.052613585644966e-6
1-Pentanol,0.5413895695771166,337.7834791799948,0.7281998978687811,26.298166664830344,1.4694444174973562,-65.26580357121692,313.7881696028042,0.0002471439652634367,7.052613585644966e-6
1-Heptanol,0.013360493842910489,377.6507728844849,0.7834027950365291,30.36392411451308,2.3422197702134033,136.89977102945556,96.29990067872006,0.0002471439652634367,7.052613585644966e-6
1-Nonanol,0.002478955665597496,412.9379042492412,0.9775638126827682,32.068448089906276,2.1749133389506725,110.74255603961828,66.1046711073838,0.0002471439652634367,7.052613585644966e-6
