Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
PCB 28,-154.84,17232.0,20.381,256.58,43.603,169.46,-81737.0,-119.08,250.0,90.0,0.99996,0.99996,7.978e-5,7.978e-5,1.9945e-5,1.9945e-5,7,7,true,false,PCB
PCB 52,-229.19,22690.0,30.616,263.3,45.925,254.55,-96214.0,-150.53,250.0,90.0,0.99961,0.99961,0.0012598,0.0012598,0.00025196,0.00025196,8,8,true,false,PCB
PCB 101,-179.59,19922.0,23.609,280.58,44.769,196.3,-94354.0,-139.74,250.0,90.0,0.99964,0.99964,0.0024949,0.0024949,0.00035642,0.00035642,10,10,true,false,PCB
PCB 138,-166.13,19788.0,21.617,307.65,46.636,179.74,-99260.0,-142.04,250.0,90.0,0.99974,0.99974,0.0034239,0.0034239,0.00038044,0.00038044,12,12,true,false,PCB
PCB 138 Std,-125.36,16887.0,15.992,306.51,44.111,132.97,-92120.0,-125.53,250.0,90.0,0.99997,0.99997,0.00027876,0.00027876,3.9823e-5,3.9823e-5,10,10,true,false,PCB
PCB 153,-128.06,16920.0,16.371,296.12,42.637,136.12,-91252.0,-126.29,250.0,90.0,0.99976,0.99976,0.0020103,0.0020103,0.00028718,0.00028718,10,10,true,false,PCB
PCB 180,-185.9,21677.0,24.252,319.21,47.993,201.65,-107010.0,-155.38,250.0,90.0,0.9997,0.9997,0.0061184,0.0061184,0.00055622,0.00055622,14,14,true,false,PCB
