Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS
2-Octanone,-51.24,7270.1,6.3392,107.63,29.858,52.707,-41307.0,-62.628,250.0,90.0,0.9999,0.9999,0.0026326,0.0026326,0.00021938,0.00021938,15,15,true,false
4-Fluoroaniline,-56.236,7489.5,7.1019,111.09,31.012,59.049,-40828.0,-60.441,250.0,90.0,0.99993,0.99993,0.0017907,0.0017907,0.00014922,0.00014922,15,15,true,false
"2,6-Dimethylphenol",-59.876,8137.1,7.537,130.09,31.896,62.666,-44898.0,-65.768,250.0,90.0,0.99995,0.99995,0.0014948,0.0014948,0.00012456,0.00012456,15,15,true,false
n-Heptanal,-40.079,6221.9,4.8348,90.98,29.719,40.199,-37134.0,-56.072,250.0,90.0,0.99985,0.99985,0.0031581,0.0031581,0.00026318,0.00026318,15,15,true,false
Octan-1-ol,-74.14,8947.2,9.5332,121.49,30.037,79.264,-45607.0,-69.923,250.0,90.0,0.99995,0.99995,0.0010535,0.0010535,0.00010535,0.00010535,13,13,true,false
"1,3-Dichlorobenzene",-40.031,6489.6,4.8316,114.04,32.457,40.172,-39369.0,-55.852,250.0,90.0,0.99994,0.99994,0.0014954,0.0014954,0.00012462,0.00012462,15,15,true,false
Cyclohexanone,-38.753,5951.3,4.7377,91.301,31.44,39.392,-35177.0,-50.613,250.0,90.0,0.99993,0.99993,0.0013895,0.0013895,0.00011579,0.00011579,15,15,true,false
4-Methylphenol,-74.664,8951.9,9.6222,122.09,30.339,80.003,-45377.0,-69.181,250.0,90.0,0.99994,0.99994,0.0018305,0.0018305,0.00015254,0.00015254,15,15,true,false
Aniline,-46.518,6776.3,5.7594,106.99,31.503,47.886,-38952.0,-56.609,250.0,90.0,0.99992,0.99992,0.0019092,0.0019092,0.0001591,0.0001591,15,15,true,false
n-Butylbenzene,-49.79,7344.2,6.1416,121.9,31.734,51.064,-42519.0,-61.898,250.0,90.0,0.99995,0.99995,0.0013514,0.0013514,0.00011261,0.00011261,15,15,true,false
Nonan-2-one,-64.541,8479.5,8.1481,125.49,30.377,67.747,-45900.0,-69.519,250.0,90.0,0.99996,0.99996,0.0010869,0.0010869,9.0574e-5,9.0574e-5,15,15,true,false
1-Phenyl-2-propanol,-56.566,8029.0,7.0571,135.29,32.413,58.676,-45449.0,-65.757,250.0,90.0,0.99996,0.99996,0.0012632,0.0012632,0.00010527,0.00010527,15,15,true,false
Hexan-1-ol,-45.81,6415.2,5.6738,83.489,28.962,47.175,-36207.0,-55.623,250.0,90.0,0.99988,0.99988,0.0024125,0.0024125,0.00020105,0.00020105,15,15,true,false
