Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
Farnesol A,-108.94,5.955,13698.0,402.29,13.933,0.82925,210.18,0.075096,33.545,0.16568,115.85,6.8948,-57903.0,286.56,-73.892,0.59201,-71825.0,876.98,-107.01,2.0583,90.0,250.0,0.99999,3.6088e-5,7.2175e-6,8,allergenic fragrances
(E)-alpha-Amylcinnamyl alcohol,-90.024,14.571,12533.0,988.0,11.279,2.0273,213.44,0.088686,33.608,0.26323,93.779,16.856,-58577.0,459.3,-74.473,0.94313,-70153.0,2130.9,-101.91,5.0216,90.0,250.0,0.99998,7.5434e-5,1.8858e-5,7,allergenic fragrances
Farnesol B,-143.29,4.9454,15819.0,337.2,18.806,0.68763,215.35,0.069363,35.982,0.15936,156.36,5.7173,-55141.0,244.72,-66.971,0.5002,-74741.0,757.59,-113.34,1.7679,90.0,250.0,0.99999,5.2339e-5,8.7231e-6,9,allergenic fragrances
alpha-Amylcinnamyl alcohol,-106.27,2.8681,13566.0,197.25,13.591,0.3983,219.77,0.047605,35.38,0.097708,113.0,3.3116,-57099.0,158.08,-69.931,0.32011,-71762.0,458.05,-104.45,1.0614,90.0,250.0,1.0,1.756e-5,2.9267e-6,9,allergenic fragrances
(Z)-alpha-Amylcinnamyl alcohol,-115.82,7.018,14110.0,484.31,14.969,0.9737,223.2,0.055824,36.877,0.17253,124.46,8.0958,-55545.0,260.16,-66.0,0.5237,-72122.0,1109.4,-104.89,2.5834,90.0,250.0,1.0,5.5466e-6,1.8489e-6,6,allergenic fragrances
