Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
1-Undecanol,-100.88953939177881,11785.23904672561,13.101267634804149,170.69681394121392,32.99675900592456,108.93,-58430.0,-87.79,90.0,250.0,-0.26705595768639073
1-Dodecanol,-105.8576596796254,12507.3367066383,13.721872986824616,184.90379562845573,33.721300296840234,114.09,-62560.0,-93.52,90.0,250.0,-0.27203513014933944
1-Tridecanol,-109.7949708774279,13170.900878296748,14.194543342142527,198.28381189476892,34.302509009278516,118.02,-66650.0,-99.16,90.0,250.0,-0.27497097743296917
1-Tetradecanol,-114.2524342608004,13862.747455060562,14.74178255758693,210.95785413146285,34.84325302183629,122.57,-70750.0,-104.85,90.0,250.0,-0.27845025557820674
Undecane,-77.65539890225158,9257.1890734047,10.024700792811215,127.72937425528738,30.67757535049635,83.35,-46700.0,-70.98,90.0,250.0,-0.23013535051222556
Dodecane,-81.97442076175984,9949.592871989424,10.550290984347928,144.31656611155177,31.428688122205653,87.72,-50870.0,-76.76,90.0,250.0,-0.23596157843751558
Tridecane,-87.06718242740325,10683.382147399641,11.18653174252395,159.68297524842143,32.07137741081771,93.01,-55050.0,-82.63,90.0,250.0,-0.24291055680859833
Tetradecane,-92.85303726352065,11455.82870166974,11.922598555385433,174.24546804229175,32.697176904793864,99.13,-59250.0,-88.54,90.0,250.0,-0.25075545233989427
