Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
1-Undecanol,-57.71,-86.24,97.90,alcohol
1-Dodecanol,-61.83,-91.93,102.32,alcohol
1-Tridecanol,-65.93,-97.62,106.72,alcohol
1-Tetradecanol,-70.00,-103.25,111.05,alcohol
Undecane,-46.61,-70.98,78.66,alkane
Dodecane,-59.15,-88.57,95.64,alkane
Tridecane,-54.96,-82.66,89.48,alkane
Tetradecane,-59.15,-88.57,95.64,alkane
