Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
1-Undecanol,-98.123,11625.0,12.703,170.0,32.755,105.62,-49850.0,-66.581,-58300.0,-87.61,90.0,250.0,-0.26188,alcohol
1-Dodecanol,-102.21,12296.0,13.197,184.14,33.397,109.73,-52060.0,-67.937,-62390.0,-93.23,90.0,250.0,-0.2656,alcohol
1-Tridecanol,-108.39,13095.0,13.989,197.44,34.008,116.31,-54143.0,-69.145,-66640.0,-99.29,90.0,250.0,-0.27213,alcohol
1-Tetradecanol,-113.01,13798.0,14.559,210.06,34.526,121.05,-56227.0,-70.455,-70760.0,-105.03,90.0,250.0,-0.27591,alcohol
Undecane,-77.682,9260.0,10.026,127.36,30.586,83.36,-43606.0,-62.967,-46720.0,-71.13,90.0,250.0,-0.2298,alkane
Dodecane,-81.782,9941.8,10.519,143.86,31.303,87.46,-46189.0,-64.854,-50900.0,-76.95,90.0,250.0,-0.23499,alkane
Tridecane,-87.5,10713.0,11.244,159.22,31.949,93.49,-48649.0,-66.61,-55120.0,-82.92,90.0,250.0,-0.2433,alkane
Tetradecane,-93.31,11488.0,11.983,173.7,32.552,99.63,-51001.0,-68.226,-59340.0,-88.89,90.0,250.0,-0.25103,alkane
