Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
2-Methylhexane,-28.838,-48.072,60.547,alkane
"2,6-Dimethyloctane",-39.996,-62.944,72.066,alkane
4-Nonanol,-47.137,-73.326,90.583,alcohol
3-Hexanol,-34.818,-56.657,77.467,alcohol
