Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
2-Methylhexane,-19.588,-32.130,92.391,alkane
"2,6-Dimethyloctane",-30.646,-49.103,50.935,alkane
4-Nonanol,-51.392,-78.102,93.406,alcohol
3-Hexanol,-41.216,-64.485,81.202,alcohol
