Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
2-Methylhexane,-25.10292158658469,3602.4591877536013,3.0206401968980647,-12.474953128559434,24.138609134982794,25.115,-20832.0,-35.554,90.0,250.0,-0.047147626380943976
"2,6-Dimethyloctane",-50.42451414749902,5975.466200488523,6.481356940897465,49.87546082209491,26.880527873775563,53.889,-30113.0,-47.698,90.0,250.0,-0.16441803876816713
4-Nonanol,-91.29553213148948,10490.303469471017,11.878939690504923,144.047282944657,31.44916317714571,98.767,-51354.0,-78.093,90.0,250.0,-0.25490447913650477
3-Hexanol,-79.65459230145542,8723.132249298578,10.437234970607767,100.29045541500108,28.900491311632457,86.78,-41014.0,-63.953,90.0,250.0,-0.23872734105972762
