Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
2-Methylhexane,-25.627,-43.016,48.061,alkane
"2,6-Dimethyloctane",-36.033,-56.921,61.772,alkane
4-Nonanol,-45.679,-69.992,83.344,alcohol
3-Hexanol,-34.040,-53.894,74.377,alcohol
