Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
1-Undecanol,-58.07,-85.17,91.47,alcohol
1-Dodecanol,-62.56,-91.88,105.27,alcohol
1-Tridecanol,-66.47,-97.08,106.98,alcohol
1-Tetradecanol,-70.38,-102.27,108.92,alcohol
Undecane,-46.65,-69.41,86.33,alkane
Dodecane,-50.92,-75.48,93.98,alkane
Tridecane,-55.18,-81.54,101.37,alkane
Tetradecane,-59.41,-87.55,108.22,alkane
