Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
2-Methylhexane,-45.0284964437012,5181.375409150466,5.780409655708457,19.056207214935853,24.449323928348676,48.061,-25627.0,-43.016,90.0,250.0,-0.14274488072516747
"2,6-Dimethyloctane",-58.070809191135666,7031.783590240739,7.429463915699273,77.3996422262756,27.755656552017783,61.772,-36033.0,-56.921,90.0,250.0,-0.1814586301807708
4-Nonanol,-77.53159428094209,9134.128937471673,10.023979158680959,121.95702326109398,30.174352758158246,83.344,-45679.0,-69.992,90.0,250.0,-0.22977728486834714
3-Hexanol,-68.15951355846002,7342.628183414705,8.945496951012835,68.41330305105407,27.21267459944484,74.377,-34040.0,-53.894,90.0,250.0,-0.2173267262788858
