Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
2-Methylhexane,-53.81529710233995,5979.4882283135075,6.97928449077435,36.57539731654947,25.12681497545559,58.029,-28643.0,-47.346,90.0,250.0,-0.17400071879900778
"2,6-Dimethyloctane",-65.06500369902756,7837.875259396461,8.341970273408435,94.76940852449377,28.38606338713459,69.359,-39980.0,-62.763,90.0,250.0,-0.1986556735511774
4-Nonanol,-78.34294454292802,9301.69941844997,10.094939848156168,123.0497367487389,29.606121913898182,83.934,-46858.0,-72.67,90.0,250.0,-0.2272622792363762
3-Hexanol,-69.54883086485678,7455.503722472508,9.114239065137781,66.42786973779664,26.444873177831425,75.78,-34469.0,-55.772,90.0,250.0,-0.21659529286486273
