Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
2-Methylhexane,-18.489,-28.826,101.329,alkane
"2,6-Dimethyloctane",-30.310,-48.153,46.771,alkane
4-Nonanol,-51.414,-78.193,96.592,alcohol
3-Hexanol,-41.177,-64.360,86.006,alcohol
