Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
2-Methylhexane,-20.832,-35.554,25.115,alkane
"2,6-Dimethyloctane",-30.113,-47.698,53.889,alkane
4-Nonanol,-51.354,-78.093,98.767,alcohol
3-Hexanol,-41.014,-63.953,86.780,alcohol
