Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
1-Undecanol,-58.45,-87.57,110.12,alcohol
1-Dodecanol,-62.39,-92.85,113.03,alcohol
1-Tridecanol,-66.30,-98.01,113.50,alcohol
1-Tetradecanol,-70.37,-103.60,116.89,alcohol
Undecane,-46.46,-70.04,76.92,alkane
Dodecane,-50.64,-75.88,83.59,alkane
Tridecane,-54.84,-81.78,90.19,alkane
Tetradecane,-59.04,-87.73,96.55,alkane
