Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
1-Undecanol,-91.556,11217.0,11.775,169.59,32.65,97.9,-57710.0,-86.24,90.0,250.0,-0.25022,alcohol
1-Dodecanol,-95.906,11905.0,12.306,183.71,33.219,102.32,-61830.0,-91.93,90.0,250.0,-0.25479,alcohol
1-Tridecanol,-100.24,12591.0,12.835,196.9,33.694,106.72,-65930.0,-97.62,90.0,250.0,-0.25893,alcohol
1-Tetradecanol,-104.51,13269.0,13.356,209.38,34.117,111.05,-70000.0,-103.25,90.0,250.0,-0.2627,alcohol
Undecane,-73.766,9041.5,9.4606,126.82,30.429,78.66,-46610.0,-70.98,90.0,250.0,-0.21907,alkane
Dodecane,-89.963,11291.0,11.503,172.98,32.312,95.64,-59150.0,-88.57,90.0,250.0,-0.24373,alkane
Tridecane,-84.144,10518.0,10.762,158.57,31.741,89.48,-54960.0,-82.66,90.0,250.0,-0.23532,alkane
Tetradecane,-89.963,11291.0,11.503,172.98,32.312,95.64,-59150.0,-88.57,90.0,250.0,-0.24373,alkane
