Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
2-Methylhexane,-87.495,6649.5,12.187,-6.5593,20.9,101.33,-28273.0,-60.147,-18489.0,-28.826,90.0,250.0,-0.26436,alkane
"2,6-Dimethyloctane",-44.577,5688.3,5.6253,50.213,27.024,46.771,-32171.0,-53.58,-30310.0,-48.153,90.0,250.0,-0.1371,alkane
4-Nonanol,-89.504,10403.0,11.617,144.14,31.348,96.592,-46185.0,-64.771,-51414.0,-78.193,90.0,250.0,-0.251,alcohol
3-Hexanol,-79.062,8708.9,10.344,100.39,28.8,86.006,-40283.0,-61.934,-41177.0,-64.36,90.0,250.0,-0.23664,alcohol
