Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
2-Methylhexane,-28.643,-47.346,58.029,alkane
"2,6-Dimethyloctane",-39.980,-62.763,69.359,alkane
4-Nonanol,-46.858,-72.670,83.934,alcohol
3-Hexanol,-34.469,-55.772,75.780,alcohol
