Compound,DeltaHref,DeltaSref,DeltaCp,Cat
,(kJ/mol),(J/mol∙K),(J/mol∙K),
1-Undecanol,-58.43,-87.79,108.93,alcohol
1-Dodecanol,-62.56,-93.52,114.09,alcohol
1-Tridecanol,-66.65,-99.16,118.02,alcohol
1-Tetradecanol,-70.75,-104.85,122.57,alcohol
Undecane,-46.70,-70.98,83.35,alkane
Dodecane,-50.87,-76.76,87.72,alkane
Tridecane,-55.05,-82.63,93.01,alkane
Tetradecane,-59.25,-88.54,99.13,alkane
