Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
2-Methylhexane,-55.991,6112.9,7.2821,36.388,24.83,60.547,-32084.0,-57.744,-28838.0,-48.072,90.0,250.0,-0.1801,alkane
"2,6-Dimethyloctane",-67.332,7958.0,8.6675,94.302,28.288,72.066,-39686.0,-62.095,-39996.0,-62.944,90.0,250.0,-0.20538,alkane
4-Nonanol,-83.936,9625.7,10.895,123.31,29.621,90.583,-44120.0,-65.377,-47137.0,-73.326,90.0,250.0,-0.23998,alcohol
3-Hexanol,-71.054,7571.2,9.3171,66.89,26.261,77.467,-36608.0,-61.751,-34818.0,-56.657,90.0,250.0,-0.21903,alcohol
