Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
Indole,120-72-9,8,7,0,1,2,117.15,DB5ms,160.31873212384528,34.143647809304376,74.44483427249092,0.001,Boswell.2012
Indole-3-acetic acid ethyl ester,778-82-5,12,13,2,1,2,203.24,DB5ms,235.19982485227314,36.69262717338013,100.54472570135903,0.001,Boswell.2012
Triphenylmethane,519-73-3,19,16,0,0,3,244.3,DB5ms,250.04035817688225,38.2485082427864,94.17778911907592,0.001,Boswell.2012
Benzamide,55-21-0,7,7,1,1,1,121.14,DB5ms,164.5055340793558,33.98960216361187,82.91606286359979,0.001,Boswell.2012
Resorcinol,108-46-3,6,6,2,0,1,110.11,DB5ms,152.69902978302918,30.998723069718125,110.36493506635767,0.001,Boswell.2012
Pyridine,110-86-1,5,5,0,1,1,79.1,DB5ms,55.331574842279906,27.470117800214712,55.93032683964428,0.001,Boswell.2012
4-Methylpyridine,108-89-4,6,7,0,1,1,93.13,DB5ms,81.7948204017215,29.695353508179547,42.92273251951532,0.001,Boswell.2012
Tert-butylpyridine,3978-81-2,9,13,0,1,1,135.21,DB5ms,126.9319647946121,32.121585802103006,64.3215542541462,0.001,Boswell.2012
1-Octanol,111-87-5,8,18,1,0,0,130.23,DB5ms,119.65694166048246,29.387604944941096,72.70833038036828,0.001,Boswell.2012
Octanoic acid,124-07-2,8,16,2,0,0,144.21,DB5ms,133.6557621702064,28.758998375441575,105.3103949025596,0.001,Boswell.2012
Decanoic acid ,334-48-5,10,20,2,0,0,172.26,DB5ms,164.33419587277308,30.684656625537286,102.48902154982159,0.001,Boswell.2012
Dextromethorphan,125-71-3,18,25,1,1,4,271.4,DB5ms,268.22601627442896,40.01727157120021,99.94029766854594,0.001,Boswell.2012
Lidocaine,137-58-6,14,22,1,2,1,234.34,DB5ms,236.12896536224315,36.90947773381206,92.94055325570136,0.001,Boswell.2012
Caffeine,58-08-2,8,10,2,4,2,194.19,DB5ms,232.59579201713018,37.76460116039416,94.91169614408928,0.001,Boswell.2012
"(1S,2R)-1-phenyl-2-(1- pyrrolidinyl)-1-propanol",56571-91-6,13,19,1,1,2,205.3,DB5ms,214.27856092598682,36.702691539390074,85.54240731179232,0.001,Boswell.2012
Diphenylamine,122-39-4,12,11,0,1,2,169.22,DB5ms,206.25514419586852,36.274598279593725,86.25682952348775,0.001,Boswell.2012
Benzocaine,94-09-7,9,11,2,1,1,165.19,DB5ms,198.82402095881372,35.05532969478203,88.43618862557209,0.001,Boswell.2012
Nikethamide,59-26-7,10,14,1,2,1,178.231,DB5ms,194.27021825446445,35.17651516597177,84.67517461580258,0.001,Boswell.2012
Nicotine,54-11-5,10,14,0,2,2,162.236,DB5ms,168.94875823688085,34.76518294794498,71.15271304036989,0.001,Boswell.2012
C7,142-82-5,7,16,0,0,0,100.21,DB5ms,43.997177039251426,26.35426949779946,0.7170412374750197,0.001,Boswell.2012
C8,111-65-9,8,18,0,0,0,114.2,DB5ms,67.02642513602484,27.01503132221082,42.35070352617923,0.001,Boswell.2012
C9,111-84-2,9,20,0,0,0,128.26,DB5ms,87.97035749377153,28.004345483971868,51.33151226063665,0.001,Boswell.2012
C10,124-18-5,10,22,0,0,0,142.28,DB5ms,107.20204398372641,28.836202852785902,58.2398582894221,0.001,Boswell.2012
C11,1120-21-4,11,24,0,0,0,156.31,DB5ms,124.90212724191008,29.549263520130967,66.52577242152059,0.001,Boswell.2012
C12,112-40-3,12,26,0,0,0,170.34,DB5ms,141.46550726766162,30.259388159949932,71.2411325063344,0.001,Boswell.2012
C13,629-50-5,13,28,0,0,0,184.37,DB5ms,156.89794469990272,30.893748537036327,80.34669517472996,0.001,Boswell.2012
C14,629-59-4,14,30,0,0,0,198.39,DB5ms,171.64016601025406,31.484190079236882,76.29925452439942,0.001,Boswell.2012
C15,629-62-9,15,32,0,0,0,212.42,DB5ms,185.1710494213837,32.00504248854724,84.6108289591741,0.001,Boswell.2012
C16,544-76-3,16,34,0,0,0,226.45,DB5ms,198.1335377898099,32.38323207351145,85.55892025959713,0.001,Boswell.2012
C17,629-78-7,17,36,0,0,0,240.47,DB5ms,210.126527742103,32.72330094180103,92.90736749676923,0.001,Boswell.2012
C18,593-45-3,18,38,0,0,0,254.5,DB5ms,221.60455306422028,33.07423677124564,101.27037878252229,0.001,Boswell.2012
C19,629-92-5,19,40,0,0,0,268.53,DB5ms,232.61539010180093,33.48814205372332,105.68352992977633,0.001,Boswell.2012
