Compound\T [�C] ->,80,80,80,90,90,90,100,100,100,110,110,110,120,120,120,130,130,130,140,140,140,150,150,150,160,160,160,170,170,170,180,180,180,190,190,190,200,200,200,210,210,210,220,220,220,230,230,230,240,240,240,250,250,250,260,260,260,270,270,270,280,280,280,290,290,290,300,300,300,310,310,310,320,320,320,270,280,290,300,310,320,Cat
Naphthalene,2.84077837937146,2.84186669516078,2.84277414725099,2.38187847467753,2.38187847467753,2.38187847467753,1.95790684341912,1.95790684341912,1.95923416177741,1.55604521914291,1.55604521914291,1.55670072968686,1.18790343167418,1.18692841947576,1.18597516335408,0.833253030388327,0.836162790414257,0.835585576106545,0.512286812115064,0.516723671111818,0.513133447223904,0.213914191600862,0.213914191600862,0.213914191600862,-0.0712825599376809,-0.0712825599376809,-0.0678747052237374,-0.336409532574943,-0.336409532574943,-0.336409532574943,-0.599030267378895,-0.599030267378895,-0.599030267378895,-0.836005306967899,-0.862140539708189,-0.858886792396569,-1.07753767333423,-1.07753767333423,-1.07753767333423,-1.26231374806509,-1.26231374806509,-1.25068311835371,-1.48115154800087,-1.48115154800087,-1.46703303914187,-1.6977170674257,-1.70063188118737,-1.70063188118737,-1.86349305353192,-1.88460554484456,-1.88460554484456,-2.05616220864451,-2.05616220864451,-2.05616220864451,-2.22549794935769,-2.22549794935769,-2.19492437583972,-2.43341734217013,-2.43341734217013,-2.43341734217013,-2.62303812898475,-2.62303812898475,-2.62303812898475,-2.79564903865253,-2.79564903865253,-2.74174221769966,,,,,,,,,,,,,,,,PAH
Acenaphthylene,,,,,,,,,,,,,2.8326984416926,2.8328821859958,2.8326984416926,2.40674031040798,2.40820357716362,2.40851319566423,2.0197372374102,2.02329863976443,2.02075378065856,1.65817694387565,1.65817694387565,1.65817694387565,1.31538879865141,1.31538879865141,1.31538879865141,0.992341838805413,0.992341838805413,0.992341838805413,0.678869074123196,0.678869074123196,0.678869074123196,0.392462626744465,0.379307904411826,0.383160666588668,0.111527333534433,0.111527333534433,0.111527333534433,-0.131870405068481,-0.131870405068481,-0.131870405068481,-0.384995060788084,-0.384995060788084,-0.380142527267976,-0.632372655054326,-0.627465967981718,-0.627465967981718,-0.844724568980479,-0.844724568980479,-0.844724568980479,-1.05578524953424,-1.05578524953424,-1.05578524953424,-1.25048541821203,-1.25048541821203,-1.25048541821203,-1.47104063816335,-1.47104063816335,-1.47104063816335,-1.66808041419261,-1.66808041419261,-1.66808041419261,-1.84718991234878,-1.84718991234878,-1.84718991234878,-2.04644189085503,-2.10881893098017,-2.10881893098017,-2.30732465088759,-2.30732465088759,-2.30732465088759,-2.52604184127215,-2.52604184127215,-2.52604184127215,,,,,,,PAH
Acenaphthene,,,,,,,,,,,,,2.97446860185815,2.97478749452481,2.97430531982255,2.54099354906124,2.54216355135301,2.54225647982347,2.1429755262696,2.14719109409055,2.14468090794248,1.77399530989276,1.77508131924908,1.77508131924908,1.42448481523717,1.42448481523717,1.42448481523717,1.09544928181602,1.09544928181602,1.09544928181602,0.776737138740619,0.776737138740619,0.776737138740619,0.482179753606053,0.469482983709207,0.473087248017808,0.197152848878389,0.197152848878389,0.197152848878389,-0.0531778818012799,-0.0531778818012799,-0.0531778818012799,-0.311096129600076,-0.311096129600076,-0.306693084223038,-0.561332073262306,-0.556925913549852,-0.562572935641723,-0.778542155844989,-0.785626706745691,-0.785626706745691,-0.991693718206473,-0.991693718206473,-0.991693718206473,-1.19435712733069,-1.19435712733069,-1.19435712733069,-1.41494855617405,-1.41494855617405,-1.41494855617405,-1.61670584677981,-1.61670584677981,-1.61670584677981,-1.80565704026325,-1.80565704026325,-1.80565704026325,-1.99576936366878,-2.05533400775459,-2.05533400775459,-2.24219698846344,-2.24219698846344,-2.24219698846344,-2.48535473094048,-2.48535473094048,-2.48535473094048,,,,,,,PAH
Fluorene,,,,,,,,,,,,,,,,3.05532901564586,3.057059203357,3.08363871931215,2.63332491883792,2.63584416303591,2.63320975713251,2.23643269595712,2.23745457216076,2.23745457216076,1.86468699825969,1.86517941573826,1.86517941573826,1.51484391315881,1.51484391315881,1.51484391315881,1.17838666417722,1.17740399985908,1.17740399985908,0.866769289488979,0.85424374705377,0.858356763521168,0.563459280333497,0.565278888714614,0.563459280333497,0.29715964412382,0.29715964412382,0.29715964412382,0.0256652110404682,0.0256652110404682,0.0256652110404682,-0.237641356390855,-0.234575846130808,-0.238663614872194,-0.474002053575497,-0.474002053575497,-0.474002053575497,-0.701771497434582,-0.701771497434582,-0.701771497434582,-0.911452923567309,-0.911452923567309,-0.911452923567309,-1.14299386111084,-1.14299386111084,-1.14299386111084,-1.341031697755,-1.341031697755,-1.341031697755,-1.54028195566749,-1.54028195566749,-1.54028195566749,-1.73702862689813,-1.78435068748537,-1.78435068748537,-1.99329055053651,-1.99329055053651,-1.99329055053651,-2.20635127452237,-2.20635127452237,-2.20635127452237,,,,,,,PAH
Phenanthrene,,,,,,,,,,,,,,,,,,,,,,,,,2.87490169297324,2.87472232344205,2.87526460432395,2.48505055821484,2.48424580362422,2.48397952174377,2.11250621541742,2.11212021064711,2.11172486086314,1.76818959829628,1.75845536874504,1.76180439723218,1.43635443916499,1.43713306648525,1.43713306648525,1.13672451417422,1.13672451417422,1.13672451417422,0.838857466225281,0.838857466225281,0.838857466225281,0.551377714054106,0.552526007314698,0.552526007314698,0.291262241962753,0.291262241962753,0.291262241962753,0.0431859725286644,0.0431859725286644,0.0399876558273105,-0.192738575423853,-0.196718094543408,-0.192738575423853,-0.43234113595424,-0.43234113595424,-0.43234113595424,-0.65360016386871,-0.65360016386871,-0.65360016386871,-0.865352702518495,-0.865352702518495,-0.865352702518495,-1.06917201633851,-1.09661779510677,-1.09661779510677,-1.29814728215947,-1.29814728215947,-1.29814728215947,-1.51155735582649,-1.51155735582649,-1.51155735582649,,,,,,,PAH
Anthracene,,,,,,,,,,,,,,,,,,,,,,,,,2.90921190465005,2.90938519379492,2.90903445845756,2.51647545360792,2.51621761816181,2.51517331885561,2.14165600132522,2.14089710284859,2.14051297001954,1.79646348430675,1.78571636457797,1.7895333192706,1.46286398152923,1.46360461916193,1.46286398152923,1.16151432710628,1.16151432710628,1.16050163646327,0.862496378220677,0.862496378220677,0.862496378220677,0.573622813746822,0.576593487404598,0.574735960695571,0.310622197710673,0.312994890160913,0.312994890160913,0.0618724896052459,0.0618724896052459,0.0618724896052459,-0.176790849451776,-0.176790849451776,-0.176790849451776,-0.417202020293256,-0.417202020293256,-0.436071574130647,-0.65360016386871,-0.65360016386871,-0.65360016386871,-0.865352702518495,-0.865352702518495,-0.865352702518495,-1.06917201633851,-1.09661779510677,-1.09661779510677,-1.29814728215947,-1.29814728215947,-1.29814728215947,-1.51155735582649,-1.51155735582649,-1.51155735582649,,,,,,,PAH
Fluoranthene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86583994920597,2.85608655104099,2.85858396152153,2.49024800399139,2.48998276522737,2.49051317242247,2.1495851570005,2.14920825794972,2.1495851570005,1.81601898357926,1.81654475998026,1.81654475998026,1.49731485620688,1.49748546426525,1.49822410467789,1.20146516652538,1.20343581985464,1.2024393864824,0.922344921267063,0.922344921267063,0.921049307934359,0.654677997696955,0.654677997696955,0.656378468165916,0.39264144852433,0.390375430350177,0.39264144852433,0.145615252512236,0.145615252512236,0.145615252512236,-0.0899305370318013,-0.0899305370318013,-0.0899305370318013,-0.31729273243276,-0.329259258575594,-0.329259258575594,-0.55039992682623,-0.55039992682623,-0.55039992682623,-0.765590996948679,-0.765590996948679,-0.765590996948679,0.424053148171706,0.171020054576678,-0.0696911578380485,-0.308724965568996,-0.532383507308785,-0.664346129067279,PAH
Pyrene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73751108004119,2.73730395176636,2.73772309550446,2.39051966331634,2.39022347290667,2.38992013943025,2.05330466243533,2.05246478598581,2.05371939997024,1.73013187056825,1.73017349453241,1.73075883861078,1.43059480324466,1.43136960499734,1.43136960499734,1.14707741617721,1.14707741617721,1.14604270609071,0.876864346749868,0.87550057968412,0.876864346749868,0.610152378116624,0.610152378116624,0.610152378116624,0.3613803008227,0.3613803008227,0.359032059412796,0.122720097961529,0.119723552030531,0.122720097961529,-0.106821977085193,-0.117744792855894,-0.117744792855894,-0.337558906763235,-0.337558906763235,-0.337558906763235,-0.558262310158757,-0.558262310158757,-0.558262310158757,0.640942291479213,0.387300888977025,0.143262799963316,-0.0953954082976175,-0.315821481628979,-0.526371407726283,PAH
Benz[a]anthracene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73093451497948,2.73066490732759,2.73109039650158,2.38694865330237,2.38725356395994,2.38755129394641,2.06067443148533,2.06192787883003,2.06109900298965,1.75189663609245,1.751314843895,1.75189663609245,1.4509370220632,1.4509370220632,1.44938303512301,1.16807471421698,1.16702730252297,1.16702730252297,0.896019380053917,0.896019380053917,0.897399227690696,0.637839949269515,0.632516368655846,0.634307020222759,0.385983262176375,0.385983262176375,0.385983262176375,0.144004446283207,0.144004446283207,0.144004446283207,1.47960816479458,1.19255843667037,0.922159424796478,0.659162091630094,0.408812337746244,0.173903612810822,PAH
