Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
Heptanophenone,1671-75-6,DB5ms,197.01,34.547,88.049,0.001,Boswell2012,phenones,phenone,
Octanophenone,1674-37-9,DB5ms,210.21,34.924,90.642,0.001,Boswell2012,phenones,phenone,
Tert-butylpyridine,585-48-8,DB5ms,126.93,32.122,64.322,0.001,Boswell2012,,,
4-Methylpyridine,108-89-4,DB5ms,81.727,29.575,51.015,0.001,Boswell2012,,,
4-Ethylaniline,589-16-2,DB5ms,139.39,32.458,69.125,0.001,Boswell2012,anilines,,
4-Butylaniline,104-13-2,DB5ms,170.45,33.871,74.222,0.001,Boswell2012,anilines,,
4-Hexylaniline,33228-45-4,DB5ms,198.57,34.859,84.604,0.001,Boswell2012,anilines,,
4-Octylaniline,16245-79-7,DB5ms,223.94,35.74,97.637,0.001,Boswell2012,anilines,,
4-Decylaniline,37529-30-9,DB5ms,246.83,36.465,106.73,0.001,Boswell2012,anilines,,
4-Dodecylaniline,104-42-7,DB5ms,267.6,37.02,116.51,0.001,Boswell2012,anilines,,
1-Octanol,111-87-5,DB5ms,119.59,29.399,76.679,0.001,Boswell2012,Grob,alcohol,alcohols
Octanoic acid,124-07-2,DB5ms,134.05,28.749,101.33,0.001,Boswell2012,,,
Decanoic acid,334-48-5,DB5ms,164.35,30.853,95.724,0.001,Boswell2012,,,
Dextromethorphan,125-71-3,DB5ms,268.23,40.017,99.94,0.001,Boswell2012,,,
Lidocaine,137-58-6,DB5ms,236.13,36.909,92.941,0.001,Boswell2012,,,
Caffeine,58-08-2,DB5ms,232.6,37.765,94.912,0.001,Boswell2012,,,
Anthracene,120-12-7,DB5ms,231.99,40.053,75.925,0.001,Boswell2012,PAH,,
"(1S,2R)-1-Phenyl-2-pyrrolidin-1-yl-propan-1-ol",123620-80-4,DB5ms,214.54,36.675,82.988,0.001,Boswell2012,,,
Diphenylamine,122-39-4,DB5ms,206.26,36.275,86.257,0.001,Boswell2012,,,
Benzocaine,94-09-7,DB5ms,198.98,35.075,86.493,0.001,Boswell2012,,,
Nikethamide,59-26-7,DB5ms,194.37,35.205,83.135,0.001,Boswell2012,,,
Nicotine,54-11-5,DB5ms,168.9,34.852,75.404,0.001,Boswell2012,,,
Tri-n-hexylamine,102-86-3,DB5ms,213.87,33.28,97.211,0.001,Boswell2012,,,
Tri-n-octylamine,1116-76-3,DB5ms,271.08,34.833,129.45,0.001,Boswell2012,,,
Tri-n-decylamine,1070-01-5,DB5ms,316.75,35.777,151.16,0.001,Boswell2012,,,
Tetratriacontane,14167-59-0,DB5ms,352.42,36.343,171.71,0.001,Boswell2012,alkanes,,
Hexatriacontane,630-06-8,DB5ms,364.2,36.576,181.85,0.001,Boswell2012,alkanes,,
Ethyl butyrate,105-54-4,Rxi5ms,69.573,27.149,75.052,0.001,Gaida2021,ester,,
D-Limonene,138-86-3,Rxi5ms,117.34,31.875,64.142,0.001,Gaida2021,terpene,allergenic fragrances,
Eucalyptol,470-82-6,Rxi5ms,118.44,32.647,73.646,0.001,Gaida2021,terpene,,
Benzoic acid,65-85-0,Rxi5ms,136.17,31.003,115.54,0.001,Gaida2021,carboxylic acid,,
Geraniol,106-24-1,Rxi5ms,152.57,32.225,92.94,0.001,Gaida2021,terpene,allergenic fragrances,
Cinnamaldehyde,104-55-2,Rxi5ms,158.56,34.575,79.993,0.001,Gaida2021,aldehyde,allergenic fragrances,
Hydroxycitronellal,107-75-5,Rxi5ms,157.77,32.627,92.205,0.001,Gaida2021,aldehyde,allergenic fragrances,
Thymol,89-83-8,Rxi5ms,158.33,32.935,113.97,0.001,Gaida2021,terpene,,
Cinnamyl alcohol,104-54-1,Rxi5ms,162.71,34.134,86.42,0.001,Gaida2021,alcohol,allergenic fragrances,
Vanillin,121-33-5,Rxi5ms,177.23,35.439,91.222,0.001,Gaida2021,aldehyde,,
Cinnamyl acetate,103-54-8,Rxi5ms,181.62,34.189,92.581,0.001,Gaida2021,ester,,
Benzyl salicylate,118-58-1,Rxi5ms,237.87,38.439,96.668,0.001,Gaida2021,ester,allergenic fragrances,
"2,3-Butanediol",513-85-9,Rxi5ms,64.89,26.798,176.13,0.001,Gaida2021,alcohol,,
Decane,124-18-5,Rxi5ms,109.32,29.653,72.846,0.001,Gaida2021,Grob,alkane,alkanes
1-Octanol,111-87-5,Rxi5ms,121.67,30.582,104.83,0.001,Gaida2021,Grob,alcohol,alcohols
Undecane,1120-21-4,Rxi5ms,126.89,30.452,78.666,0.001,Gaida2021,Grob,alkane,alkanes
Nonanal,124-19-6,Rxi5ms,128.24,31.139,87.62,0.001,Gaida2021,aldehyde,Grob,
"2,6-Dimethylphenol",576-26-1,Rxi5ms,130.35,32.719,92.101,0.001,Gaida2021,aromatic,Grob,
2-Ethylhexanoic acid,149-57-5,Rxi5ms,127.12,29.758,146.17,0.001,Gaida2021,carboxylic acid,Grob,
"2,6-Dimethylaniline",87-62-7,Rxi5ms,142.13,34.097,81.506,0.001,Gaida2021,amine,aromatic,Grob
Methyl decanoate,110-42-9,Rxi5ms,161.92,31.918,96.575,0.001,Gaida2021,FAME,Grob,FAMEs
Dicyclohexylamine,101-83-7,Rxi5ms,181.14,36.539,92.754,0.001,Gaida2021,amine,Grob,
Methyl undecanoate,1731-86-8,Rxi5ms,176.06,32.446,100.32,0.001,Gaida2021,FAME,Grob,FAMEs
Methyl laurate,111-82-0,Rxi5ms,189.36,32.934,105.21,0.001,Gaida2021,FAME,Grob,FAMEs
Octane,111-65-9,Rxi5ms,69.344,27.188,86.692,0.001,Gaida2021,alkanes,alkane,
Nonane,111-84-2,Rxi5ms,90.152,28.199,40.26,0.001,Gaida2021,alkanes,alkane,
Decane,124-18-5,Rxi5ms,109.1,28.981,46.944,0.001,Gaida2021,Grob,alkane,alkanes
Undecane,1120-21-4,Rxi5ms,126.62,29.743,57.036,0.001,Gaida2021,Grob,alkane,alkanes
Dodecane,112-40-3,Rxi5ms,143.0,30.676,72.946,0.001,Gaida2021,alkanes,alkane,
Tridecane,629-50-5,Rxi5ms,158.32,31.175,72.2,0.001,Gaida2021,alkanes,alkane,
Tetradecane,629-59-4,Rxi5ms,172.73,31.83,79.196,0.001,Gaida2021,alkanes,alkane,
Pentadecane,629-62-9,Rxi5ms,186.18,32.25,83.375,0.001,Gaida2021,alkanes,alkane,
Hexadecane,544-76-3,Rxi5ms,198.95,32.851,94.78,0.001,Gaida2021,alkanes,alkane,
Heptadecane,629-78-7,Rxi5ms,211.01,33.213,95.981,0.001,Gaida2021,alkanes,alkane,
Octadecane,593-45-3,Rxi5ms,222.42,33.617,103.93,0.001,Gaida2021,alkanes,alkane,
Nonadecane,629-92-5,Rxi5ms,233.4,34.044,109.4,0.001,Gaida2021,alkanes,alkane,
Eicosane,112-95-8,Rxi5ms,243.8,34.471,118.22,0.001,Gaida2021,alkanes,alkane,
Heneicosane,629-94-7,Rxi5ms,253.74,34.855,125.6,0.001,Gaida2021,alkanes,alkane,
Docosane,629-97-0,Rxi5ms,263.19,35.116,129.23,0.001,Gaida2021,alkanes,alkane,
Tricosane,638-67-5,Rxi5ms,272.3,35.448,136.08,0.001,Gaida2021,alkanes,alkane,
Tetracosane,646-31-1,Rxi5ms,280.99,35.708,141.39,0.001,Gaida2021,alkanes,alkane,
Pentacosane,629-99-2,Rxi5ms,289.37,35.961,147.02,0.001,Gaida2021,alkanes,alkane,
Hexacosane,630-01-3,Rxi5ms,297.41,36.208,152.02,0.001,Gaida2021,alkanes,alkane,
Heptacosane,593-49-7,Rxi5ms,305.16,36.422,156.8,0.001,Gaida2021,alkane,alkanes,
Octacosane,630-02-4,Rxi5ms,312.55,36.549,159.94,0.001,Gaida2021,alkanes,alkane,
Nonacosane,630-03-5,Rxi5ms,319.45,37.005,175.76,0.001,Gaida2021,alkane,alkanes,
