Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
Heptane,-50.964,5072.1,6.7684,1.2684,23.425,56.276,-26728.0,-51.492,-21735.0,-35.726,90.0,250.0,-0.17796,alkane
Octane,-59.511,5922.9,7.9253,24.701,24.904,65.895,-29619.0,-53.534,-25316.0,-40.472,90.0,250.0,-0.20409,alkane
nonane,-61.706,6470.6,8.1446,46.162,26.346,67.718,-32177.0,-54.861,-29208.0,-46.149,90.0,250.0,-0.20668,alkane
decane,-67.998,7220.4,8.9645,66.037,27.525,74.535,-34752.0,-56.549,-32966.0,-51.461,90.0,250.0,-0.22096,alkane
Undecane,-69.799,7731.8,9.1335,84.457,28.637,75.94,-37129.0,-57.918,-36708.0,-56.75,90.0,250.0,-0.22191,alkane
Dodecane,-75.107,8423.0,9.8131,101.69,29.612,81.591,-39450.0,-59.337,-40403.0,-61.921,90.0,250.0,-0.23191,alkane
Tridecane,-80.563,9121.7,10.514,117.84,30.509,87.418,-41662.0,-60.648,-44096.0,-67.105,90.0,250.0,-0.24126,alkane
Tetradecane,-85.67,9800.7,11.165,133.06,31.338,92.828,-43779.0,-61.866,-47777.0,-72.269,90.0,250.0,-0.24897,alkane
Pentadecane,-91.035,10493.0,11.853,147.46,32.121,98.548,-45792.0,-62.963,-51454.0,-77.438,90.0,250.0,-0.25652,alkane
1-octanol,-90.329,10696.0,11.698,155.39,32.316,97.259,-47250.0,-64.349,-53610.0,-80.453,90.0,250.0,-0.25263,alcohol
1-nonanol,-94.871,11333.0,12.273,169.03,33.106,102.04,-49106.0,-65.146,-57171.0,-85.239,90.0,250.0,-0.25873,alcohol
2-octanol,-88.359,10111.0,11.496,135.16,30.774,95.586,-45042.0,-64.406,-49359.0,-75.61,90.0,250.0,-0.24989,alcohol
2-nonanol,-95.064,10882.0,12.377,149.45,31.6,102.91,-46989.0,-65.284,-53107.0,-80.885,90.0,250.0,-0.25978,alcohol
5-nonanol,-92.447,10581.0,12.032,143.65,31.211,100.04,-46279.0,-65.126,-51646.0,-78.91,90.0,250.0,-0.25582,alcohol
5-decanol,-98.959,11337.0,12.884,157.24,31.981,107.12,-48159.0,-65.988,-55363.0,-84.187,90.0,250.0,-0.26464,alcohol
2-octanone,-66.084,8103.0,8.5295,118.75,32.265,70.918,-39579.0,-55.083,-41618.0,-60.487,90.0,250.0,-0.21468,ketone
2-decanone,-73.162,9258.8,9.3929,150.1,33.907,78.097,-43928.0,-57.879,-48621.0,-69.839,90.0,250.0,-0.22683,ketone
