Name,min,Tchar,Tchar_std,thetachar,thetachar_std,DeltaCp,DeltaCp_std,d,d_std
Pentanol,0.002845943441912904,369.3759625654941,0.25137719527435654,24.49527445723223,0.17537437638250017,7.6633224693522894,3.1220304871675864,8.963297479943602e-5,6.034403869385263e-6
Heptanol,0.0008508097456441498,399.75499348906027,0.18717792025457136,26.656576471702003,0.10902824686835894,49.233414303624485,1.605528843162299,8.963297479943602e-5,6.034403869385263e-6
Nonanol,0.007025422184152678,426.66736790745836,0.1709407119839376,27.80147131374763,0.09480329608110594,56.5012220653403,1.2040463116273423,8.963297479943602e-5,6.034403869385263e-6
Decanol,0.005276703674346773,439.12251234868796,0.16791317443861717,28.29379315165428,0.09287202588710589,59.33950403521008,1.1315968220842652,8.963297479943602e-5,6.034403869385263e-6
Undecanol,0.015536808577493297,451.4833610303909,0.16750032048635785,29.253440760795424,0.09430947158192622,74.6963005774127,1.181263911178925,8.963297479943602e-5,6.034403869385263e-6
4-Methyl-2-pentanone,0.0042443506356766745,334.5300871123035,0.6107377826036888,24.535965737669116,0.7320504656291335,-128.21805502301476,61.957093113318045,8.963297479943602e-5,6.034403869385263e-6
2-Hexanone,0.007926301280336402,345.5912145390302,0.43595675766055647,25.155422643935246,0.45556899506062815,-38.410643321791916,14.483867941487839,8.963297479943602e-5,6.034403869385263e-6
2-Decanone,0.003795135226443693,407.32147074124055,0.1867352747860715,27.97458220391731,0.10530736416127001,28.665455228628257,1.2321809974299507,8.963297479943602e-5,6.034403869385263e-6
2-Undecanone,0.004138961756038268,421.3801719502552,0.177462659395755,28.731084135001677,0.09785733485219102,37.90493076580466,1.0904661150958148,8.963297479943602e-5,6.034403869385263e-6
2-Dodecanone,0.0019621817681160303,434.8151938077538,0.1729364147197008,29.471787115816124,0.09510596437390637,46.61905649859991,1.0325475018662922,8.963297479943602e-5,6.034403869385263e-6
2-Tridecanone,0.0027742339216050202,447.9777701109636,0.17180855770791872,30.622287396899914,0.09641246352298875,64.42184900344785,1.0783700068791624,8.963297479943602e-5,6.034403869385263e-6
2-Pentadecanone,0.005160032601834866,471.40395602670986,0.16957685958500254,31.61286180912442,0.09596283501010032,74.82071889506204,1.0737523434588283,8.963297479943602e-5,6.034403869385263e-6
Propiophenone,0.00453896196291463,440.2830840258892,0.17910774533549353,32.16364264694791,0.09891181724541649,40.29604622978734,0.9093707658208806,8.963297479943602e-5,6.034403869385263e-6
Butyrophenone,0.011019328746124228,449.0922885836668,0.17707792255101246,32.685653210774596,0.0984516793829847,48.620444630066984,0.9163741895608609,8.963297479943602e-5,6.034403869385263e-6
Valerophenone,0.0056497140647320115,461.29390575650154,0.17521560951975373,33.31513901286115,0.09800951679016887,55.494781861976236,0.9123789492327463,8.963297479943602e-5,6.034403869385263e-6
Hexanophenone,0.00019764050657182223,473.2410032378939,0.17395670146100733,33.822924655346746,0.09760609598265917,59.537235309155704,0.9062335623005136,8.963297479943602e-5,6.034403869385263e-6
Heptanophenone,0.00478011145504642,484.6202677011345,0.17317831342561119,34.24633844123024,0.09748301663932622,64.03743342118281,0.9147045270055427,8.963297479943602e-5,6.034403869385263e-6
Octanophenone,0.004020916691053581,495.7902948620852,0.17303684140753328,34.766963768939156,0.09775690383714113,69.15604223855512,0.9300754866403222,8.963297479943602e-5,6.034403869385263e-6
(1R)-(-)-Fenchone,0.0035747161824601094,398.3274144890846,0.22451207966700876,31.38143649268462,0.1420719144545728,35.857289958447595,1.5845374450732794,8.963297479943602e-5,6.034403869385263e-6
(-)-alpha-Thujone,0.0011814703872500224,401.24010931801416,0.21418894027293436,30.644003357720003,0.12959529264295533,23.96786114752556,1.3656627327907676,8.963297479943602e-5,6.034403869385263e-6
Camphor,0.00044976458070853823,416.2404567316994,0.2028294470813502,32.95115091167651,0.11843022714734933,29.658622891493803,1.0762074753049007,8.963297479943602e-5,6.034403869385263e-6
L-menthone,0.006654040914037058,408.0083722901529,0.20739995476327214,31.93835389762994,0.12597222451028525,43.971403770678165,1.3537768453376933,8.963297479943602e-5,6.034403869385263e-6
D-isomenthone,0.0034827846326231575,411.67306103077914,0.2023568622736204,31.862662731360352,0.11942126439437738,35.24784254008503,1.2036897837182818,8.963297479943602e-5,6.034403869385263e-6
d-Valerolactam,0.015620734522045867,488.28616425543737,0.1772408333342311,36.47325095502264,0.10007404690329419,58.87721699706641,0.8275524556129721,8.963297479943602e-5,6.034403869385263e-6
Safranal,0.002878505538221066,431.72384398138087,0.18524527636208288,32.64656670326306,0.10472459676268978,44.74710850704232,0.9958381238816134,8.963297479943602e-5,6.034403869385263e-6
Octyl acetate,0.009387466066397877,404.9241678987125,0.18763452402939307,28.024984286769925,0.11021432804955686,59.51719644697062,1.5559208128102118,8.963297479943602e-5,6.034403869385263e-6
(-)-Verbenone,0.004726997040379442,441.14899030667584,0.18567738145495633,34.32105689176957,0.10399138687229373,39.23742676278661,0.8677543157425361,8.963297479943602e-5,6.034403869385263e-6
Neral,0.004763427065685025,434.290747041542,0.17907783486475276,31.3407076822811,0.10043767750295757,50.926370848106046,1.0385225826085134,8.963297479943602e-5,6.034403869385263e-6
Geranial,0.006938108544242862,440.1898386104512,0.1769463713859991,31.541974158486756,0.09998903762405213,60.79528804657382,1.0679606288595513,8.963297479943602e-5,6.034403869385263e-6
(R)-(+)-Pulegone,0.033579505901265384,432.1033986165259,0.18590597438610484,32.77885766116676,0.10389745124682541,35.80255123072775,0.927770382500749,8.963297479943602e-5,6.034403869385263e-6
(S)-(+)-Carvone,0.006357692841811068,443.13348608195594,0.18184461274916547,33.518679195517365,0.10228801782311092,48.70709724040472,0.9313746494221107,8.963297479943602e-5,6.034403869385263e-6
Piperitone,0.0029499459214348766,443.1089549721977,0.18342238952957987,33.992471767577115,0.10298123997696598,44.76140061584473,0.8976407925972916,8.963297479943602e-5,6.034403869385263e-6
Isobornyl acetate,0.00723508749571341,423.56319063988275,0.18845360757310234,32.0551174434643,0.10908053842643432,53.27960018202235,1.146763580250704,8.963297479943602e-5,6.034403869385263e-6
Geranyl acetate,0.005831247683765956,440.1465038299162,0.16987030988002233,29.098834312685774,0.09300107074426114,47.75510252440974,1.0156781207608472,8.963297479943602e-5,6.034403869385263e-6
(-)-Caryophyllene oxide,0.01379963390400063,475.0540643687959,0.1811336768596234,37.13463784988394,0.10330224304420468,58.565648869035456,0.8277733512144209,8.963297479943602e-5,6.034403869385263e-6
(+)-Nootkatone,0.006377660520001538,529.7656911348025,0.1818761367881159,41.09319106386147,0.10464253276211681,70.79625087858255,0.79182696939094,8.963297479943602e-5,6.034403869385263e-6
