Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
(1R)-(-)-Fenchone,-88.602,9477.5,11.77,129.81,34.293,97.858,-39368.0,-51.79,-43264.0,-61.969,90.0,250.0,-0.27089
(-)-alpha-Thujone,-91.889,9779.7,12.205,132.31,34.028,101.48,-40168.0,-53.161,-44461.0,-64.343,90.0,250.0,-0.27388
Camphor,-83.102,9389.9,10.943,140.73,35.239,90.982,-40417.0,-51.746,-45032.0,-63.642,90.0,250.0,-0.26075
L-menthone,-91.156,9970.6,12.047,140.73,34.365,100.16,-41445.0,-54.23,-46527.0,-67.328,90.0,250.0,-0.2707
D-isomenthone,-88.273,9837.5,11.63,142.47,34.521,96.695,-41605.0,-54.195,-46679.0,-67.245,90.0,250.0,-0.2659
d-Valerolactam,-111.53,11148.0,14.968,143.36,35.307,124.45,-40854.0,-52.178,-47495.0,-69.241,90.0,250.0,-0.2991
Safranal,-96.513,10439.0,12.784,148.24,35.144,106.29,-42009.0,-53.784,-48199.0,-69.593,90.0,250.0,-0.27907
Octyl acetate,-106.36,11404.0,14.017,144.92,31.523,116.54,-46099.0,-64.36,-52499.0,-80.771,90.0,250.0,-0.27795
(-)-Verbenone,-90.988,10131.0,11.999,150.08,35.451,99.769,-42011.0,-53.354,-48005.0,-68.629,90.0,250.0,-0.27136
Neral,-104.11,11212.0,13.756,151.87,33.669,114.37,-44610.0,-59.051,-51686.0,-77.045,90.0,250.0,-0.28179
Geranial,-98.846,11096.0,12.951,155.87,33.229,107.68,-46056.0,-61.442,-53150.0,-79.393,90.0,250.0,-0.27109
(R)-(+)-Pulegone,-98.549,10739.0,13.033,154.37,35.374,108.36,-42961.0,-54.58,-49936.0,-72.263,90.0,250.0,-0.28049
(S)-(+)-Carvone,-94.849,10589.0,12.481,154.71,34.878,103.77,-43640.0,-56.088,-50355.0,-73.105,90.0,250.0,-0.27299
Piperitone,-89.989,10329.0,11.789,156.75,35.126,98.018,-43746.0,-55.851,-50289.0,-72.39,90.0,250.0,-0.26551
Isobornyl acetate,-97.174,10904.0,12.777,161.7,35.355,106.23,-44469.0,-56.356,-52086.0,-75.497,90.0,250.0,-0.27573
Geranyl acetate,-105.15,12094.0,13.685,170.53,32.69,113.78,-50069.0,-66.94,-59232.0,-89.73,90.0,250.0,-0.27178
(-)-Caryophyllene oxide,-93.592,11724.0,12.095,206.21,38.777,100.56,-49270.0,-56.875,-60956.0,-84.795,90.0,250.0,-0.26768
(+)-Nootkatone,-98.162,12821.0,12.581,232.55,39.594,104.61,-53701.0,-60.284,-68613.0,-94.922,90.0,250.0,-0.26862
