Name,A,B,C
C13:0,5.742E+01,-1E-03,-9.585E+00
C14:0,6.369E+01,-1.528E-02,-1.058E+01
C14:1,6.902E+01,-1.528E-02,-1.142E+01
C15:0,7.01E+01,-1.528E-02,-1.161E+01
C15:1,7.545E+01,-1.528E-02,-1.244E+01
C16:0,7.65E+01,-1.528E-02,-1.262E+01
C16:1,8.048E+01,-1.528E-02,-1.324E+01
C17:0,8.291E+01,-1.528E-02,-1.364E+01
C17:1,8.659E+01,-1.528E-02,-1.421E+01
C18:0,8.898E+01,-1.528E-02,-1.461E+01
trans-C18:1n9,9.118E+01,-1.528E-02,-1.494E+01
cis-C18:1n9c,9.174E+01,-1.528E-02,-1.502E+01
trans-C18:2n6,9.563E+01,-1.528E-02,-1.564E+01
cis-C18:2n6,9.669E+01,-1.528E-02,-1.579E+01
C18:3n6,9.962E+01,-1.528E-02,-1.624E+01
C18:3n3,1.019E+02,-1.528E-02,-1.659E+01
C20:0,1.007E+02,-1.528E-02,-1.647E+01
C20:1n9,1.029E+02,-1.528E-02,-1.678E+01
C20:2,1.072E+02,-1.528E-02,-1.745E+01
C20:3n6,1.095E+02,-1.528E-02,-1.778E+01
C20:3n3,1.103E+02,-1.528E-02,-1.791E+01
C20:4n6,1.173E+02,-1.528E-02,-1.903E+01
C20:5n3,1.146E+02,-1.528E-02,-1.855E+01
C21:0,1.064E+02,-1.528E-02,-1.737E+01
C22:0,1.121E+02,-1.528E-02,-1.827E+01
C22:1n9,1.133E+02,-1.528E-02,-1.842E+01
C22:2,1.117E+02,-1.528E-02,-1.814E+01
C22:6n3,1.249E+02,-1.528E-02,-2.015E+01
C23:0,1.175E+02,-1.528E-02,-1.911E+01
C24:0,1.228E+02,-1.528E-02,-1.994E+01
C24:1,1.233E+02,-1.528E-02,-2E+01
