C23,,,,,,,,1.1067,0.7515,0.4354,0.1537,-0.1027,-0.3251,-0.5305
C24,,,,,,,,1.2650,0.8948,0.5654,0.2718,0.0056,-0.2274,-0.4405
C25,,,,,,,,1.4223,1.0374,0.6946,0.3892,0.1131,-0.1302,-0.3516
C26,,,,,,,,,1.1792,0.8232,0.5059,0.2198,-0.0334,-0.2631
C28,,,,,,,,,,1.0783,0.7375,0.4312,0.1583,-0.0883
C30,,,,,,,,,,1.3303,0.9666,0.6400,0.3478,0.0845
C32,,,,,,,,,,,1.1934,0.8464,0.5355,0.2555
48,,,1.0269,0.6579,0.3391,0.0548,-0.1905,-0.4057,-0.5979,-0.7693,-0.9189,-1.0570,-1.1817,
33,,,,1.2942,0.9213,0.5903,0.3019,0.0476,-0.1788,-0.3810,-0.5609,-0.7208,-0.8737,-1.0108
42,,,,1.0930,0.7347,0.4175,0.1428,-0.0986,-0.3136,-0.5047,-0.6734,-0.8249,-0.9636,-1.0832
49,,1.3430,0.8917,0.5091,0.1834,-0.1038,-0.3490,-0.5608,-0.7485,-0.9165,-1.0591,-1.2045,,
20,,,1.3939,0.9870,0.6320,0.3158,0.0403,-0.2028,-0.4202,-0.6137,-0.7853,-0.9416,-1.0869,-1.2347
21,,,,1.2370,0.8565,0.5183,0.2231,-0.0376,-0.2697,-0.4771,-0.6607,-0.8277,-0.9809,-1.1244
22,,,,1.4886,1.0823,0.7217,0.4068,0.1283,-0.1193,-0.3406,-0.5372,-0.7144,-0.8752,-1.0235
52,1.1488,0.7448,0.3963,0.0942,-0.1662,-0.4030,-0.6093,-0.7877,-0.9510,-1.0987,,,,
51,0.3472,0.0236,-0.2547,-0.4953,-0.6961,-0.8974,-1.0659,,,,,,,
27,1.4063,0.9730,0.5990,0.2745,-0.0060,-0.2592,-0.4791,-0.6723,-0.8470,-1.0013,-1.1423,,,
28,,,1.1376,0.7586,0.4289,0.1352,-0.1217,-0.3476,-0.5494,-0.7300,-0.8880,-1.0352,-1.1759,
29,,,,1.2547,0.8745,0.5370,0.2415,-0.0189,-0.2509,-0.4572,-0.6398,-0.8054,-0.9621,-1.0982
