Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
Citronellol,-91.607,10625.0,11.872,143.1,30.488,98.71,-52493.0,-81.079,250.0,90.0,1.0,1.0,2.9409e-5,2.9409e-5,4.2013e-6,4.2013e-6,10,10,true,false,allergenic fragrances
Hydroxycitronellal,-104.07,11899.0,13.527,160.17,31.103,112.47,-58087.0,-89.799,250.0,90.0,1.0,1.0,9.891e-6,9.891e-6,1.413e-6,1.413e-6,10,10,true,false,allergenic fragrances
Anisalkohol,-77.506,10396.0,9.7956,174.13,33.262,81.445,-56861.0,-82.869,250.0,90.0,0.99978,0.99978,0.0012401,0.0012401,0.00024801,0.00024801,8,8,true,false,allergenic fragrances
Unknown_4,-100.08,11840.0,12.972,175.39,33.408,107.85,-59280.0,-88.498,250.0,90.0,0.99976,0.99976,0.0018837,0.0018837,0.00031395,0.00031395,9,9,true,false,allergenic fragrances
Cinnamylalkohol A,-82.238,10634.0,10.498,177.17,34.332,87.288,-56720.0,-81.929,250.0,90.0,1.0,1.0,7.7099e-7,7.7099e-7,3.8549e-7,3.8549e-7,5,5,true,false,allergenic fragrances
Cinnamylalkohol B,-82.945,10876.0,10.544,180.76,33.829,87.665,-58595.0,-85.209,250.0,90.0,1.0,1.0,2.118e-6,2.118e-6,7.0598e-7,7.0598e-7,6,6,true,false,allergenic fragrances
Coumarin,-88.122,11510.0,11.3,210.54,38.708,93.95,-61579.0,-84.919,250.0,90.0,1.0,1.0,1.422e-5,1.422e-5,2.8441e-6,2.8441e-6,8,8,true,false,allergenic fragrances
