Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
alpha-Pinen,-74.338,7758.2,9.8859,83.227,29.989,82.196,-34656.0,-51.351,250.0,90.0,0.99996,0.99996,5.1446e-5,5.1446e-5,2.5723e-5,2.5723e-5,5,5,true,false,allergenic fragrances
beta-Pinene,-66.666,7613.4,8.7259,96.536,31.149,72.551,-36955.0,-54.066,250.0,90.0,0.99999,0.99999,3.5466e-5,3.5466e-5,8.8665e-6,8.8665e-6,7,7,true,false,allergenic fragrances
Benzaldehyd,-72.995,8460.2,9.5243,116.86,32.053,79.19,-41585.0,-60.913,250.0,90.0,1.0,1.0,2.1737e-5,2.1737e-5,4.3475e-6,4.3475e-6,8,8,true,false,allergenic fragrances
Salicylaldehyd,-68.606,8528.6,8.8397,131.98,33.175,73.498,-44220.0,-63.666,250.0,90.0,1.0,1.0,1.9146e-5,1.9146e-5,3.191e-6,3.191e-6,9,9,true,false,allergenic fragrances
Menthol,-73.628,9161.8,9.4443,137.3,31.874,78.524,-47660.0,-70.773,250.0,90.0,1.0,1.0,1.3187e-5,1.3187e-5,2.6373e-6,2.6373e-6,8,8,true,false,allergenic fragrances
Methyl-2-Octyonate,-62.97,9201.2,7.7171,147.71,29.752,64.164,-53202.0,-81.169,250.0,90.0,0.99996,0.99996,0.00032078,0.00032078,6.4155e-5,6.4155e-5,8,8,true,false,allergenic fragrances
Methylsalicylat,-88.068,10258.0,11.487,154.11,34.123,95.508,-50605.0,-73.727,250.0,90.0,0.99998,0.99998,0.00013089,0.00013089,2.1814e-5,2.1814e-5,9,9,true,false,allergenic fragrances
Isobornylacetat,-76.572,9823.6,9.7742,157.55,33.044,81.267,-52166.0,-76.328,250.0,90.0,1.0,1.0,1.1366e-5,1.1366e-5,1.8943e-6,1.8943e-6,9,9,true,false,allergenic fragrances
Carvone,-77.922,9953.3,9.9597,160.07,33.285,82.81,-52684.0,-76.919,250.0,90.0,1.0,1.0,1.6286e-5,1.6286e-5,2.3266e-6,2.3266e-6,10,10,true,false,allergenic fragrances
beta-Caryophyllene,-60.086,9048.2,7.4291,172.85,34.686,61.769,-52800.0,-73.696,250.0,90.0,0.99998,0.99998,0.00016654,0.00016654,2.3791e-5,2.3791e-5,10,10,true,false,allergenic fragrances
d-Damascone,-104.1,11833.0,13.622,173.3,34.657,113.26,-57253.0,-84.59,250.0,90.0,0.99999,0.99999,3.3402e-5,3.3402e-5,8.3506e-6,8.3506e-6,7,7,true,false,allergenic fragrances
E-beta-Damascone,-86.738,11068.0,11.091,179.92,33.969,92.213,-58536.0,-85.389,250.0,90.0,1.0,1.0,4.4821e-7,4.4821e-7,7.4701e-8,7.4701e-8,9,9,true,false,allergenic fragrances
Majantol,-90.524,11347.0,11.627,183.58,34.558,96.669,-59235.0,-86.143,250.0,90.0,1.0,1.0,1.1004e-6,1.1004e-6,2.2009e-7,2.2009e-7,8,8,true,false,allergenic fragrances
Amylsalicylate,-94.62,12184.0,12.087,202.07,35.067,100.5,-64809.0,-93.798,250.0,90.0,1.0,1.0,3.9359e-5,3.9359e-5,5.6226e-6,5.6226e-6,10,10,true,false,allergenic fragrances
3-Propylidenephthalide,-87.303,11856.0,11.085,218.14,37.653,92.163,-65108.0,-90.431,250.0,90.0,1.0,1.0,3.0815e-5,3.0815e-5,4.4022e-6,4.4022e-6,10,10,true,false,allergenic fragrances
Isoeugenylacetat,-111.65,13974.0,14.31,216.5,34.412,118.98,-72981.0,-107.96,250.0,90.0,1.0,1.0,1.2299e-5,1.2299e-5,2.4598e-6,2.4598e-6,8,8,true,false,allergenic fragrances
alpha-Acetylcedrene A,-92.183,12550.0,11.694,229.4,37.845,97.227,-69040.0,-96.089,250.0,90.0,1.0,1.0,2.3242e-5,2.3242e-5,3.3202e-6,3.3202e-6,10,10,true,false,allergenic fragrances
alpha-Acetylcedrene B,-105.42,13274.0,13.6,231.8,39.798,113.08,-69302.0,-96.858,250.0,90.0,0.99998,0.99998,2.3605e-5,2.3605e-5,7.8684e-6,7.8684e-6,6,6,true,false,allergenic fragrances
alpha-Acetylcedrene C,-210.12,20278.0,28.2,233.56,42.874,234.46,-83454.0,-130.47,250.0,90.0,0.99976,0.99976,0.00037764,0.00037764,0.00012588,0.00012588,6,6,true,false,allergenic fragrances
Hexadecanolaceton,-91.093,12946.0,11.471,247.68,38.909,95.377,-73005.0,-99.781,250.0,90.0,1.0,1.0,2.0718e-5,2.0718e-5,2.9597e-6,2.9597e-6,10,10,true,false,allergenic fragrances
