Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1,Cat_2
Glyceryl triacetate,-546.39,242.48,40369.0,15265.0,75.637,34.145,173.29,1.5487,30.191,3.5782,628.88,283.9,-54889.0,6516.5,-77.039,14.578,-107270.0,24562.0,-206.9,60.464,90.0,250.0,0.99595,0.0017965,0.00089823,5,triglyceride,ester
Glyceryl tributyrate,-257.95,27.785,24417.0,1936.1,34.55,3.8481,229.76,0.30778,35.923,0.27734,287.27,31.995,-58540.0,457.6,-70.494,0.90149,-98689.0,4497.4,-164.03,10.459,90.0,250.0,0.99969,0.0023129,0.00033041,10,triglyceride,ester
Glyceryl trihexanoate,-188.84,20.96,22064.0,1588.2,24.456,2.8654,279.28,0.36766,35.679,0.53451,203.34,23.824,-71117.0,1069.6,-82.828,1.9305,-109610.0,4636.7,-168.13,10.181,90.0,250.0,0.99968,0.0093626,0.00085115,14,triglyceride,ester
Glyceryl trioctanoate,-211.38,27.344,25948.0,2197.4,27.112,3.7033,318.75,0.27448,35.386,0.54949,225.42,30.791,-82318.0,1280.5,-93.167,2.1606,-133880.0,7159.8,-203.29,15.197,90.0,250.0,0.99958,0.014787,0.00086984,20,triglyceride,ester
Glyceryl tridecanoate,-394.74,65.672,41657.0,5590.7,51.841,8.818,357.5,1.2,44.375,2.8054,431.03,73.317,-74520.0,4719.7,-72.255,7.4737,-189820.0,20186.0,-310.16,41.164,90.0,250.0,0.99636,0.083195,0.0039617,24,triglyceride,ester
Glyceryl trilaurate,-543.67,127.33,55893.0,11394.0,71.568,16.969,393.69,3.3938,54.435,8.6086,595.05,141.09,-67920.0,10764.0,-55.946,16.116,-248630.0,44256.0,-417.58,87.316,90.0,250.0,0.99883,0.0039493,0.00039493,13,triglyceride,ester
Glyceryl trimyristine,-655.14,198.66,66369.0,27435.0,86.428,25.872,471.37,130.28,274.27,2095.4,718.6,215.11,-16804.0,128520.0,23.337,172.49,-290860.0,181970.0,-492.57,265.34,90.0,250.0,0.99916,0.0091803,0.00091803,13,triglyceride,ester
Glyceryl tripalmitin,-493.02,661.79,53703.0,529250.0,64.545,23.508,556.97,5727.6,5634.7,1.735e7,536.66,195.45,-1016.8,3.131e6,44.683,3771.8,-251620.0,4.3984e6,-399.0,5293.9,90.0,250.0,0.99897,0.0034491,0.00057485,9,triglyceride,ester
