Compound/T [°C] ->,59.8,70,80.1,90.3,100.349999999999,110.55,120.7,130.85,141.05,151,161.075,171.1,181.025,190.975,201.149999999999,59.875,70,80.1,90.25,100.4,110.574999999999,120.7,130.8,141,150.9,161.025,170.966666666666,181,191,201.083333333333,59.825,70,80.125,90.2,100.35,110.583333333333,120.7,130.85,141.05,151,160.95,171,181.016666666666,191.075,201.1,70,80.05,90.2,100.349999999999,110.574999999999,120.775,130.85,141.1,150.95,161.05,170.925,181.125,191.05,201.1
n-Octanal,,,,,,,,,,,,,,,,2.67392497225638,2.20321597362531,1.7666725671172,1.36590410345346,0.992784985430912,0.644057041948181,0.319354007177802,0.0155043917666414,-0.263259175471431,-0.524448652193923,-0.770374409813361,-0.99086252071896,-1.21016775415161,-1.40794182648334,-1.5918606232545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Octanone,2.56144488066657,2.09820689644119,1.66231368287302,1.26626123172223,0.895986239202812,0.554069461774863,0.230557951294398,-0.0665745043058595,-0.344877630417428,-0.602693387463852,-0.847234616750438,-1.06858479798232,-1.28538059736156,-1.47713094096591,-1.67469983080328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666913671537,2.19170518113785,1.7469379962856,1.3386102531217,0.96038474775979,0.611590432909275,0.28499101511346,-0.0178516854209674,-0.301787336459138,-0.565866622500654,-0.80867511339375,-1.05013780178083,-1.26404594195167,-1.46209298914317,-1.644011858581,,,,,,,,,,,,,,
Benzyl alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90926015106475,2.43759885885432,1.99656274852803,1.59170746304305,1.2170727019513,0.869757233504007,0.547216005516372,0.244259655290619,-0.0362450952094509,-0.298532416333115,-0.536743082555824,-0.768771554895376,-0.984070177345463,-1.18093299633491,-1.36414278529095,,,,,,,,,,,,,,
4-Fluoroaniline,2.64560445595089,2.1884457132837,1.75952784520112,1.36985797814085,1.00582565898332,0.671059288939366,0.353914770359728,0.0615279902426217,-0.209309763644255,-0.465291478481318,-0.706605283145119,-0.91945884913082,-1.13185933173063,-1.3181340007676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09845888408582,2.61553074560455,2.16282807809072,1.74689085163665,1.36059800712705,1.00285156624672,0.668713428014924,0.355597955486722,0.0650259676783469,-0.207232672681189,-0.46206783210755,-0.700958282911925,-0.924714656374811,-1.12919957048637,-1.31416335677662,,,,,,,,,,,,,,
1-Phenyl ethanol,,,,,,,,,,,,,,,,3.12419765628934,2.63977434181,2.18927539800782,1.77776320452353,1.39381741729491,1.03484722909615,0.701132915636267,0.395830973857121,0.106469321821663,-0.162582059173882,-0.415489109174092,-0.639732300383897,-0.862217738914664,-1.08028993079974,-1.26467750830595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,6-Dimethylphenol",,2.98530136697207,2.51431020366902,2.08561732275489,1.68554279313705,1.316200002419,0.968724657117274,0.645716224710135,0.347422871356236,0.0677034049013449,-0.198220442248229,-0.442414397999712,-0.670804213367244,-0.878883927438667,-1.09304709496708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Chlorophenol,,,,,,,,,,,,,,,,2.53402616589678,2.09475104211088,1.6870796154568,1.31393741796106,0.965462486233491,0.639048647551102,0.33769939270007,0.0556423595381401,-0.206374768087076,-0.450906266128553,-0.683392406984021,-0.89091189890589,-1.08671885939719,-1.28258740850049,-1.45632866536486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylphenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08107112167206,2.58106554484736,2.11521764049253,1.69046670757193,1.29789781990864,0.936652782756773,0.601115070776401,0.28836935221038,-0.00351582756024992,-0.272812666802737,-0.520274315437901,-0.761680916255297,-0.984070177345463,-1.19181226496022,-1.37726835602332,,,,,,,,,,,,,,
Cyclohexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77498175670649,1.38185718430271,0.946892759261819,0.603110453535896,0.282829622547682,-0.0108153417659025,-0.284342507123858,-0.540753505089286,-0.783541136658477,-1.00830827264785,-1.20481055531389,-1.41585627365342,-1.60404240971988,-1.77452194046303,-1.91569548292482,,,,,,,,,,,,,,
Bromobenzene,,,,,,,,,,,,,,,,2.08119069540767,1.67715213889286,1.30000341108369,0.954013845982116,0.631047017460321,0.324953748615794,0.0442232371667458,-0.221315704560839,-0.466467448307122,-0.696463540901071,-0.912824947094505,-1.11168311860122,-1.30193332790402,-1.47722001748401,-1.64145213550994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Heptanal,1.8362976427869,1.4168693099025,1.07434928399969,0.706545329647242,0.325438586838839,0.0188819491755403,-0.275346914012234,-0.543433517190082,-0.788855836978007,-1.02132054508034,-1.23973904082002,-1.42905661177139,-1.63470630315851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32046797374928,1.89736379541722,1.4989588273492,1.13219598189184,0.790798424299114,0.47523269880214,0.181499693752285,-0.095724376971625,-0.355302703491949,-0.59468775156462,-0.815908740359965,-1.03167250063756,-1.25239968712324,-1.44819013256957,-1.644011858581,,,,,,,,,,,,,,
