Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
Benzene,8.5765,32.871,2400.3,1513.4,-1.9065,4.8884,32.455,2.1655,31.31,2.5074,-15.851,40.645,-25714.0,3084.8,-37.982,9.5719,250.0,90.0,0.99925,0.0011644,0.00029111,7,BTEX
Ethylbenzene,-82.834,7.1362,8227.0,368.55,11.096,1.0387,81.076,0.089148,29.203,0.14283,92.253,8.6364,-34901.0,192.77,-52.649,0.54024,250.0,90.0,0.99995,0.00026101,4.3502e-5,9,BTEX
Toluene,-63.732,8.7732,6765.6,432.45,8.4312,1.288,60.799,0.18487,28.234,0.31861,70.101,10.709,-30795.0,487.42,-46.56,1.4305,250.0,90.0,0.9999,0.00040129,6.6882e-5,9,BTEX
o-Xylene,-61.233,4.2969,7253.8,226.05,7.9308,0.62341,89.118,0.060677,29.958,0.064488,65.94,5.1833,-36365.0,80.19,-54.473,0.21858,250.0,90.0,0.99999,7.0715e-5,1.4143e-5,8,BTEX
m-Xylene,-69.964,6.5879,7604.3,341.0,9.2083,0.95853,82.057,0.082528,29.116,0.12554,76.562,7.9696,-35422.0,169.34,-53.834,0.47337,250.0,90.0,0.99996,0.00022226,3.7044e-5,9,BTEX
p-Xylene,-69.964,6.5879,7604.3,341.0,9.2083,0.95853,82.057,0.082528,29.116,0.12554,76.562,7.9696,-35422.0,169.34,-53.834,0.47337,250.0,90.0,0.99996,0.00022226,3.7044e-5,9,BTEX
