Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
Propiophenone,-76.214,9179.7,9.8883,141.63,33.878,82.216,-46467.0,-66.817,250.0,90.0,1.0,8.7936e-5,7.9942e-6,14,phenone
Butyrophenone,-78.035,9675.8,10.064,155.77,34.326,83.673,-50063.0,-71.91,250.0,90.0,1.0,3.5684e-5,3.5684e-6,13,phenone
Valerophenone,-79.691,10231.0,10.201,171.32,34.674,84.815,-54266.0,-77.806,250.0,90.0,1.0,6.3029e-5,7.0032e-6,12,phenone
Hexanophenone,-79.987,10704.0,10.146,185.82,34.833,84.36,-58364.0,-83.398,250.0,90.0,1.0,2.9543e-5,3.6928e-6,11,phenone
Heptanophenone,-88.13,11644.0,11.207,199.45,35.186,93.177,-62976.0,-90.314,250.0,90.0,0.99999,4.6531e-5,7.7552e-6,9,phenone
Octanophenone,-96.662,12618.0,12.319,212.34,35.512,102.42,-67715.0,-97.498,250.0,90.0,1.0,2.7907e-5,5.5814e-6,8,phenone
