Compound\T [�C] ->,60,70,80,90,100,110,120,130,140,150,160,170,170,180,180,190,190,200,200,200,210,220,230,240,250,260,270,280,290,300,Cat_1,Cat2
Methyl butyrate,-0.398525905221683,-0.742536802092901,-1.05925647204187,-1.34849788191505,-1.61015997591234,-1.90598018670673,-2.12705971686187,-2.34497450840793,-2.50740419227184,,,,,,,,,,,,,,,,,,,,,,FAME,saturated FAME
Methyl hexanoate,1.21959889014925,0.771302470619487,0.359184042798959,-0.0199086406662651,-0.366763890916536,-0.710236174388313,-1.02096087664706,-1.29066369815457,-1.55630464733548,-1.78013658754837,,,,,,,,,,,,,,,,,,,,,FAME,saturated FAME
Methyl octanoate,,2.2683690412784,1.7713907580459,1.31039569569026,0.883215235878282,0.474695353930442,0.102934337457326,-0.242784796898318,-0.560567004168363,-0.854580039774927,-1.13718914873784,-1.38490831731978,-1.37962343184104,-1.64779020757357,,-1.85936960012756,,-2.0451710052519,,,,,,,,,,,,,FAME,saturated FAME
Methyl decanoate,,,3.19062669534637,2.6456186910863,2.13980091543095,1.66560452373433,1.23021707864849,0.824718155993583,0.44620513892334,0.0932683118409886,-0.236896757402344,-0.538874358176077,-0.537195257325038,-0.838040779680732,,-1.10090050542117,,-1.34009892788661,,,,,,,,,,,,,FAME,saturated FAME
Methyl undecanoate,,,,3.31786798910072,2.77588730441299,2.26143101288693,1.7946294722093,1.35791366741411,0.952327384875452,0.572825630868636,0.216361512980857,-0.11204219072613,-0.11146880708524,-0.430376643209667,-0.433746857750597,-0.719692454455154,,-0.980890985785858,,,,,,,,,,,,,FAME,saturated FAME
Methyl laurate,,,,,,2.86302394340864,2.35705289022455,1.89113976599218,1.4571476097103,1.05245732221275,0.670520187222859,0.317926451612251,0.319046106868446,-0.0234481981205929,-0.0228573873313361,-0.335339120338945,-0.337258151604852,-0.616573350931358,,,,,,,,,,,,,FAME,saturated FAME
Methyl tridecanoate,,,,,,,2.92748657060773,2.42560083027686,1.9619761226551,1.53062177596641,1.12494743076129,0.748562234303891,0.750854546053328,0.385153642109904,0.386207684473172,0.0544347246096505,0.0527270149659137,-0.254062956420322,-0.261345305331116,-0.264143311455172,,,,,,,,,,,FAME,saturated FAME
Methyl myristate,,,,,,,,2.96266325323256,2.46696194876584,2.00776595730069,1.57800449604433,1.17885953314165,1.18143431401423,0.794140437737921,0.796234056506561,0.440983131095672,0.440518425233897,0.114620134712234,0.106151893546157,0.104333927411705,-0.210314915859391,,,,,,,,,,FAME,saturated FAME
Methyl myristoleate,,,,,,,,3.01921115575495,2.52523665120065,2.06768717353644,1.6410670030444,1.24278284023243,1.24479820999015,0.859918383370152,0.862416697429231,0.50895313146349,0.505212315390736,0.181463709609811,0.174055408681247,0.172461787469368,-0.143943818410111,-0.446539017135278,,,,,,,,,FAME,
Methyl pentadecanoate,,,,,,,,,2.97529003899772,2.48706660597074,2.03126488467513,1.60730972450814,1.61076881134988,1.20291176198287,1.20519685736796,0.828742109568955,0.826950532040412,0.479885668003601,0.474367977027866,0.475357609257475,0.137406363829799,-0.182970407759447,,,,,,,,,FAME,saturated FAME
Methyl cis-10-pentadecenoate,,,,,,,,,3.03030528016023,2.54396078734532,2.08970391905817,1.66891346856797,1.67147269513977,1.26534927626896,1.26798604482327,0.893949544213712,0.892816098333432,0.54562662541319,0.539079487377613,0.540045344156128,0.203563065809817,-0.11470547236773,-0.410400239076738,,,,,,,,FAME,
Methyl palmitate,,,,,,,,,,2.96637609676618,2.4829224613924,2.0351670615797,2.03878138182016,1.60962311850996,1.61203699770626,1.21511256858128,1.21377311442347,0.847246061577165,0.841674426826303,0.842547418083783,0.487393039563038,0.148236954958457,-0.161832911664663,,,,,,,,FAME,saturated FAME
Methyl palmitoleate,,,,,,,,,,2.97741539416061,2.49744780525066,2.05463547786345,2.05753115331743,1.63365329172685,1.63494796119354,1.24423266932892,1.24227340306676,0.878601915952666,0.872064208344108,0.874310522472381,0.520978164386418,0.186956371037902,-0.123993337434081,-0.420115680462537,,,,,,,FAME,
Methyl heptadecanoate,,,,,,,,,,,2.93731020852312,2.46348882416933,2.46561585111524,2.01419999133911,2.01648128787523,1.60051396075221,1.59909938262674,1.21312696500344,1.20779526915969,1.20858768316714,0.835118064713321,0.482934316421869,0.153484493486136,-0.160792336983939,,,,,,,FAME,saturated FAME
cis-10-Heptadecanoic acid methyl ester,,,,,,,,,,,2.94689167126217,2.47993495998024,2.47979048757509,2.03492256148954,2.03562937543384,1.62613274495982,1.62368988690902,1.2424739025639,1.2356263651516,1.23735192412342,0.867230985119266,0.516658438106921,0.192104855916233,-0.122752944184302,-0.416598647659159,,,,,,FAME,
Methyl stearate,,,,,,,,,,,,2.89140164772624,2.89119542094439,2.41751711264201,2.41896415310132,1.9833601109566,1.98156479110325,1.57640785482982,1.57238494283041,1.57245118642263,1.18179470773241,0.811800196462842,0.528456292553442,0.141106372956671,-0.172442748996918,,,,,,FAME,saturated FAME
trans-9-Elaidic acid methyl ester,,,,,,,,,,,,2.87906037654798,2.87947071651446,2.41265355951532,2.41551102842188,1.98379874880422,1.98245102081555,1.58307335929901,1.57778101252853,1.58053087055659,1.19275002225494,0.829067950974568,0.489916697295911,0.166541343788158,-0.141397228700732,,,,,,FAME,
cis-9-Oleic acid methyl ester,,,,,,,,,,,,2.90779115426812,2.90843921408804,2.43869290179054,2.44028679630182,2.0065305258233,2.0049741295119,1.60213121390458,1.59643341225169,1.59847495343586,1.20851153086111,0.840427434516115,0.489916697295911,0.166541343788158,-0.141397228700732,,,,,,FAME,saturated FAME
