Alpha-Methyl linolenate,,,,,,,,,,,,,,2.812718326,2.41554329,2.043186105,1.691265394,1.359948074,1.04747512,0.751557871,0.470450012,0.208647058,-0.026245872,-0.266237762,-0.496867492
Methyl heneicosanoate,,,,,,,,,,,,,,,3.704450009,3.259601712,2.839151543,2.442754798,2.069528309,1.714902165,1.380106347,1.067527113,0.779836374,0.497834555,0.233183099
"cis-11,14-Eicosadienoic acid methyl ester",,,,,,,,,,,,,,3.650363233,3.210334725,2.796008446,2.404262229,2.035432489,1.687758307,1.130819191,1.046132834,0.754005301,0.487474995,0.222860973,
Methyl behenate,,,,,,,,,,,,,,,,3.606055647,3.16901201,2.75675367,2.368162062,1.998219696,1.650807783,1.324784053,1.022897473,0.729684908,0.451771248
"cis-8,11,14-Eicosatrienoic acid methyl ester",,,,,,,,,,,,,,3.567716221,3.134584465,2.726605284,2.303082019,1.977896591,1.635302704,1.309143321,1.001622219,0.712052428,0.453761106,0.198223948,
Methyl erucate,,,,,,,,,,,,,,,3.961059606,3.507878491,3.080193079,2.67604992,2.295429331,1.933703698,1.591908322,1.271605692,1.061942774,0.688083125,0.416671701
"cis-11,14,17-Eicosatrienoic acid methyl ester",,,,,,,,,,,,,,3.671751498,3.232242084,2.817522932,2.42583948,2.057298561,1.709687619,1.378796576,1.067081825,0.775892469,0.509957292,0.246905582,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",,,,,,,,,,,,,,3.489582989,3.06343622,2.661967599,2.282030568,1.924137748,1.586785161,1.265826737,0.603225222,0.678536035,0.421120145,0.164333257,
Methyl tricosanoate,,,,,,,,,,,,,,,,3.842930365,3.497034526,3.068937921,2.664684381,2.281016592,1.919189074,1.579611069,1.265036532,0.958776293,0.671684903
"cis-13,16-Docosadienoic acid methyl ester",,,,,,,,,,,,,,,3.938197728,3.488220565,3.080193079,2.66132065,2.283617393,1.923515912,1.584378968,1.265918737,0.971927005,0.682975802,0.414400171
Methyl lignocerate,,,,,,,,,,,,,,,,3.863842385,3.823284283,3.379744282,2.960496914,2.562797003,2.18741375,1.834794703,1.508001029,1.189238138,0.890135852
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",,,,,,,,,,,,,,3.508886639,3.083063158,2.682251076,2.303082019,1.944755142,1.607005267,1.286337294,0.983005384,0.700466755,0.438678257,0.187032119,
Methyl nervonate,,,,,,,,,,,,,,,,,3.732995332,3.297704106,2.886798512,2.496006954,2.126995091,1.781375924,1.459047235,1.147200141,0.851847386
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",,,,,,,,,,,,,,,,3.304432688,2.89702819,2.510761435,2.147522171,1.80065856,1.474120049,1.167472685,0.885359996,0.608591183,0.347250872
