Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
PCB 28,-101.55,2.2747,13300.0,169.51,13.001,0.31176,269.33,0.052128,47.105,0.085008,108.1,2.5921,-71330.0,474.46,-98.992,1.0547,125.0,90.0,0.99999,5.4783e-5,6.8479e-6,11
PCB 52,-108.61,2.3285,14057.0,175.54,13.925,0.31859,276.1,0.050548,47.072,0.10184,115.78,2.6489,-74832.0,506.49,-104.77,1.116,125.0,90.0,0.99999,6.5045e-5,7.2273e-6,12
PCB 101,-111.16,0.85969,14804.0,66.924,14.179,0.11708,294.81,0.023455,47.78,0.053172,117.89,0.97344,-80277.0,209.05,-111.41,0.44911,125.0,90.0,1.0,5.0424e-6,7.2034e-7,10
PCB 138,-107.39,2.4739,15187.0,200.61,13.561,0.33499,318.7,0.12712,48.915,0.20645,112.75,2.7853,-85325.0,685.92,-115.53,1.4259,125.0,90.0,1.0,4.0017e-5,5.0021e-6,11
PCB 153,-106.02,3.2438,14985.0,260.39,13.377,0.43993,312.05,0.16064,47.854,0.25766,111.22,3.6578,-84199.0,874.59,-114.6,1.8301,125.0,90.0,1.0,4.1581e-5,5.9401e-6,10
PCB 180,-95.041,5.9211,14747.0,489.4,11.783,0.79956,330.9,0.33185,47.826,0.48932,97.972,6.6479,-87035.0,1731.0,-114.72,3.551,125.0,90.0,0.99999,8.5642e-5,1.4274e-5,9
