Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Methyl cis-11-eicosenoate,-129.32,6.1236,17368.0,481.78,16.353,0.83276,300.65,0.19193,41.238,0.31468,135.97,6.9239,-66384.0,508.52,-75.546,0.88368,-95026.0,1545.6,-137.75,3.2893,90.0,125.0,0.99999,0.00017632,2.204e-5,11
Methyl alpha linolenate,-104.28,4.1647,14744.0,316.48,13.055,0.56925,279.78,0.090299,40.623,0.17702,108.54,4.733,-62574.0,273.43,-73.024,0.49348,-83173.0,939.19,-118.66,2.0503,90.0,125.0,1.0,2.384e-5,3.9733e-6,9
Methyl heneicosanoate,-146.26,5.8922,19113.0,470.79,18.582,0.79934,311.09,0.17987,41.342,0.29539,154.5,6.6461,-68648.0,492.31,-77.355,0.84032,-102810.0,1550.7,-150.82,3.2709,90.0,125.0,0.99999,0.00015011,1.8764e-5,11
"cis-11,14-Eicosadienoic acid methyl ester",-125.3,7.1722,17035.0,564.75,15.811,0.97539,300.46,0.25633,41.306,0.39473,131.46,8.1098,-66230.0,635.68,-75.317,1.1046,-93897.0,1822.7,-135.41,3.8695,90.0,125.0,0.99999,0.00010852,1.8087e-5,9
Methyl behenate,-155.61,6.407,20158.0,518.8,19.802,0.86744,319.69,0.21409,41.75,0.33599,164.65,7.2123,-69993.0,565.55,-77.918,0.9511,-107810.0,1751.9,-158.61,3.6617,90.0,125.0,0.99999,9.0945e-5,1.2992e-5,10
"cis-8,11,14-Eicosatrienoic acid methyl ester",-134.15,8.3111,17530.0,652.88,17.066,1.1305,299.69,0.25618,42.32,0.44825,141.89,9.3995,-64468.0,685.27,-72.398,1.1931,-94221.0,2088.0,-137.07,4.4484,90.0,125.0,0.99998,0.00026568,3.7954e-5,10
Methyl erucate,-142.81,5.9973,19054.0,485.33,18.084,0.8122,318.33,0.23495,41.861,0.34135,150.36,6.753,-69486.0,569.29,-77.334,0.9591,-103820.0,1645.2,-150.68,3.4323,90.0,125.0,0.99999,0.00013561,1.9373e-5,10
"cis-11,14,17-Eicosatrienoic acid methyl ester",-132.72,6.0846,17553.0,479.58,16.841,0.82725,301.65,0.20008,41.97,0.32928,140.03,6.8781,-65453.0,515.54,-73.726,0.89427,-95090.0,1545.4,-138.03,3.2836,90.0,125.0,0.99999,0.00017399,2.1749e-5,11
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",-123.69,5.6289,16678.0,441.04,15.648,0.7659,298.42,0.16635,42.24,0.29013,130.1,6.3681,-64306.0,443.27,-72.362,0.77345,-91423.0,1400.1,-131.37,2.9908,90.0,125.0,0.99999,0.00012622,1.8031e-5,10
Methyl tricosanoate,-165.19,7.9055,21218.0,648.38,21.054,1.0683,328.03,0.28845,42.222,0.43371,175.06,8.8823,-71172.0,734.27,-78.242,1.2174,-112840.0,2240.2,-166.48,4.6417,90.0,125.0,0.99999,6.6182e-5,1.103e-5,9
"cis-13,16-Docosadienoic acid methyl ester",-137.78,10.022,18653.0,810.72,17.402,1.3573,318.19,0.38087,41.814,0.56454,144.69,11.285,-69532.0,943.03,-77.439,1.5893,-102550.0,2744.8,-147.99,5.7293,90.0,125.0,0.99997,0.00043283,5.4103e-5,11
Methyl lignocerate,-166.05,8.1524,21629.0,677.83,21.112,1.0997,335.89,0.36812,42.292,0.49556,175.53,9.1431,-72923.0,859.01,-79.589,1.4049,-116080.0,2409.9,-170.35,4.9346,90.0,125.0,0.99999,7.0127e-5,1.1688e-5,9
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",-124.84,6.0833,16762.0,477.44,15.809,0.82755,299.28,0.18825,42.49,0.32524,131.45,6.8806,-64120.0,492.61,-71.868,0.85819,-91629.0,1522.8,-131.69,3.2474,90.0,125.0,0.99999,0.00017412,2.1765e-5,11
Methyl nervonate,-160.25,8.1817,21039.0,678.99,20.354,1.1039,334.85,0.36294,42.664,0.49888,169.23,9.1782,-72040.0,846.75,-78.342,1.3873,-113480.0,2404.5,-165.56,4.9317,90.0,125.0,0.99999,7.0665e-5,1.1778e-5,9
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",-139.33,6.587,18441.0,530.15,17.693,0.89253,316.22,0.20545,43.35,0.35296,147.11,7.4209,-66624.0,544.45,-72.897,0.92125,-99904.0,1765.9,-144.13,3.7107,90.0,125.0,0.99999,9.6282e-5,1.3755e-5,10
