Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,beta0,Tref,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
4-Methyl-2-pentanone,-63.108,2.6984,6730.2,137.72,8.3021,0.39381,74.484,0.070448,31.437,0.121,69.027,3.2744,-30891.0,134.28,-48.782,0.38305,125.0,90.0,0.99998,0.0001924,2.405e-5,11
2-Hexanone,-59.914,1.3099,6798.3,68.752,7.7863,0.19027,85.967,0.043526,32.224,0.060441,64.739,1.582,-33015.0,63.676,-51.792,0.17573,125.0,90.0,0.99999,0.00012526,1.2526e-5,13
2-Decanone,-76.481,1.689,9568.9,104.83,9.7777,0.23845,165.11,0.042213,36.352,0.056483,81.296,1.9826,-50037.0,164.24,-75.378,0.40433,125.0,90.0,0.99999,0.00010304,1.0304e-5,13
2-Undecanone,-77.399,2.1693,10062.0,139.0,9.8199,0.30468,181.4,0.039318,36.906,0.078014,81.647,2.5332,-54012.0,251.84,-80.591,0.60872,125.0,90.0,1.0,5.1973e-5,6.4966e-6,11
2-Dodecanone,-81.945,2.7949,10779.0,184.56,10.374,0.39075,196.52,0.059889,37.348,0.12282,86.257,3.2489,-58294.0,382.29,-86.597,0.90392,125.0,90.0,1.0,4.3436e-5,6.2052e-6,10
2-Tridecanone,-96.37,5.4499,12110.0,369.43,12.322,0.75875,210.75,0.12606,38.088,0.25123,102.45,6.3086,-63488.0,834.0,-94.899,1.9412,125.0,90.0,0.99999,3.3103e-5,6.6207e-6,8
2-Pentadecanone,-114.43,3.9642,14073.0,283.34,14.705,0.54775,237.31,0.19632,39.681,0.27288,122.27,4.5543,-72609.0,771.64,-108.44,1.7186,125.0,90.0,1.0,6.5555e-6,1.6389e-6,7
