Compound\T [�C] ->,59.607142855714,70.223809525714,80.328571427857,90.488095239286,100.557142871429,110.68000002,120.783333342857,130.940476171429,141.019047614286,150.95333334,160.971428585714,170.81666665,180.888095242857,190.766666671429,200.740476185714,Cat
Benzene,-0.47976,-0.71855,-0.93241,-1.10675,-1.26887,-1.41137,-1.51757,-1.62158,-1.70167,-1.77159,-1.84897,-1.92616,-1.96883,-2.03774,-2.08758,BTEX
Ethylbenzene,0.98226,0.61328,0.28132,-0.01986,-0.28853,-0.53042,-0.74358,-0.91394,-1.08865,-1.23335,-1.37851,-1.49709,-1.60484,-1.70547,-1.80037,BTEX
Toluene,0.26699,-0.0454,-0.32352,-0.56761,-0.78552,-0.98611,-1.15293,-1.30525,-1.42959,-1.54237,-1.63731,-1.73587,-1.81136,-1.8688,-1.88743,BTEX
o-Xylene,1.2275,0.84349,0.49779,0.18245,-0.10411,-0.49183,-0.59435,-0.80271,-0.98462,-1.14486,-1.26431,-1.43831,-1.53899,-1.65056,-1.73995,BTEX
m-Xylene,1.05028,0.67803,0.34347,0.03548,-0.24124,-0.36007,-0.71604,-0.91276,-1.08865,-1.23335,-1.30085,-1.49709,-1.60484,-1.70547,-1.80037,BTEX
p-Xylene,1.06046,0.67803,0.34347,0.03548,-0.24124,-0.36007,-0.71604,-0.91276,-1.08865,-1.23335,-1.30085,-1.49709,-1.60484,-1.70547,-1.80037,BTEX
