Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
"1,2-Dichlorobenzene",-59.214,1.0636,7612.5,63.106,7.5861,0.15127,143.09,0.043452,38.892,0.035296,63.075,1.2577,-37039.0,34.493,-48.841,0.081291,-40388.0,75.486,-57.447,0.19032,90.0,125.0,1.0,0.00011477,9.5638e-6,15
Linalool,-68.609,0.98172,8709.3,59.028,8.7381,0.13931,149.65,0.03046,35.646,0.026804,72.652,1.1583,-41696.0,31.924,-58.474,0.074496,-46030.0,76.316,-69.523,0.19152,90.0,125.0,1.0,3.9928e-5,4.991e-6,11
Aniline,-61.671,1.064,7594.9,61.263,7.9404,0.15205,129.14,0.044201,36.776,0.026049,66.02,1.2642,-36589.0,27.135,-50.807,0.065192,-39173.0,56.923,-57.564,0.14558,90.0,125.0,0.99999,0.00011623,9.6862e-6,15
n-Butylbenzene,-62.04,0.86461,8000.4,51.488,7.9073,0.12289,144.69,0.037252,37.176,0.0284,65.745,1.0218,-39048.0,30.632,-53.306,0.071875,-42644.0,64.044,-62.53,0.16077,90.0,125.0,1.0,5.169e-5,5.7434e-6,12
2-Heptanone,-59.87,2.3152,7274.3,127.39,7.6756,0.33342,108.15,0.078134,33.442,0.059426,63.818,2.7722,-36148.0,65.92,-54.656,0.16958,-37306.0,83.966,-57.769,0.21845,90.0,125.0,0.99998,0.00037879,3.4436e-5,14
2-Nonanone,-74.523,1.4458,9009.4,86.508,9.5884,0.20531,147.41,0.045749,35.538,0.036074,79.722,1.7071,-41380.0,42.959,-58.249,0.10045,-45957.0,107.37,-69.95,0.27042,90.0,125.0,0.99999,0.00012927,1.1751e-5,14
Nitrobenzene,-59.081,0.92074,7851.7,55.755,7.5104,0.13052,152.56,0.037018,38.937,0.037318,62.445,1.0852,-38699.0,37.695,-50.759,0.087481,-42606.0,77.89,-60.685,0.19371,90.0,125.0,1.0,6.5613e-5,6.5613e-6,13
Nonanal,-71.171,1.0449,8871.2,62.927,9.1013,0.14824,150.25,0.027665,35.726,0.031514,75.672,1.2325,-41720.0,37.203,-58.391,0.087157,-46279.0,83.218,-70.006,0.20851,90.0,125.0,1.0,4.4095e-5,4.4095e-6,13
1-Phenyl-2-propanol,-66.334,1.3889,8542.8,85.209,8.4691,0.19646,159.12,0.043991,38.277,0.053598,70.416,1.6334,-40590.0,57.435,-53.754,0.13183,-45457.0,126.92,-66.023,0.31396,90.0,125.0,0.99999,0.00011836,1.076e-5,14
Hexan-1-ol,-68.46,1.9161,7676.8,104.33,8.9169,0.27648,102.92,0.06883,32.713,0.063066,74.139,2.2988,-35947.0,70.539,-55.44,0.1851,-36905.0,77.581,-58.032,0.20343,90.0,125.0,0.99998,0.0003843,3.2025e-5,15
Chlorobenzene,-55.197,1.3856,6641.0,75.294,7.1435,0.19996,102.66,0.043672,35.699,0.040616,59.395,1.6626,-32895.0,38.199,-47.385,0.1001,-33647.0,44.146,-49.421,0.11601,90.0,125.0,0.99999,8.9215e-5,8.9215e-6,13
2-Nitrophenol,-54.35,1.7836,7775.9,109.48,6.7882,0.25226,159.44,0.058431,38.669,0.06858,56.44,2.0974,-40237.0,72.186,-52.87,0.16544,-44157.0,162.81,-62.746,0.40288,90.0,125.0,0.99999,0.00016288,1.6288e-5,13
"3,5-Dimethylphenol",-78.428,1.3496,9531.5,83.084,10.095,0.19077,161.42,0.024345,36.71,0.038657,83.937,1.5862,-42773.0,45.295,-58.281,0.10379,-48767.0,122.1,-73.351,0.30322,90.0,125.0,1.0,2.2491e-5,2.8114e-6,11
2-Chloroaniline,-63.459,0.62978,8271.3,38.634,8.1008,0.089072,159.58,0.017463,39.29,0.02133,67.354,0.74058,-39626.0,21.749,-51.428,0.04985,-44312.0,56.009,-63.234,0.13916,90.0,125.0,1.0,1.4386e-5,1.4386e-6,13
Phenol,-80.635,2.6447,8835.2,150.95,10.57,0.37849,125.23,0.077244,34.32,0.049733,87.882,3.1469,-38449.0,57.677,-56.369,0.1411,-41545.0,125.96,-64.506,0.32517,90.0,125.0,0.99998,0.00028769,2.8769e-5,13
