Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Octanal,-68.733,1.5394,8256.6,85.063,8.8614,0.22153,110.18,0.044855,30.237,0.029273,73.678,1.8419,-40406.0,40.245,-59.499,0.10279,-41893.0,55.452,-63.484,0.14414,90.0,250.0,0.99999,0.0001354,1.354e-5,13
1-Phenyl ethanol,-67.377,2.1614,8324.9,122.58,8.6687,0.30967,122.06,0.074622,31.882,0.041558,72.076,2.5748,-40733.0,55.279,-57.159,0.13575,-43043.0,100.31,-63.256,0.25803,90.0,250.0,0.99998,0.00039222,3.5656e-5,14
2-Chlorophenol,-58.021,2.0352,7392.9,112.44,7.4387,0.29289,110.05,0.06642,32.326,0.046072,61.849,2.4352,-37768.0,55.397,-52.653,0.14151,-39008.0,74.674,-55.976,0.19397,90.0,250.0,0.99998,0.00028926,2.6296e-5,14
Bromobenzene,-42.806,3.2803,6266.6,177.31,5.3234,0.47392,99.718,0.11004,32.471,0.10837,44.261,3.9404,-35600.0,120.66,-49.568,0.3199,-36030.0,127.49,-50.737,0.33775,90.0,250.0,0.99995,0.00091862,8.3511e-5,14
Methyl benzoate,-61.662,1.6598,8142.3,95.443,7.8247,0.23725,128.58,0.052877,32.284,0.030444,65.058,1.9726,-41564.0,40.694,-57.554,0.098513,-44073.0,86.798,-64.122,0.22287,90.0,250.0,0.99999,0.0001898,1.7254e-5,14
Styrene,-47.494,2.8726,6422.0,152.12,5.9959,0.41652,90.431,0.08477,31.162,0.10432,49.853,3.4631,-35270.0,119.21,-51.1,0.32554,-35292.0,119.88,-51.159,0.32657,90.0,250.0,0.99996,0.00058497,5.3179e-5,14
3-Methylphenol,-76.982,2.1613,9030.6,122.6,9.9777,0.30963,122.28,0.047319,30.75,0.036724,82.96,2.5744,-42279.0,51.497,-61.012,0.12833,-44958.0,98.253,-68.077,0.25473,90.0,250.0,0.99999,9.0948e-5,1.1369e-5,11
"1,2-Dichlorobenzene",-55.253,1.4886,7389.4,83.911,7.024,0.21349,119.44,0.04491,33.276,0.027462,58.401,1.775,-38511.0,32.981,-52.187,0.081729,-40230.0,62.223,-56.739,0.1613,90.0,250.0,0.99999,9.0964e-5,1.0107e-5,12
Nonanal,-71.97,1.6508,8916.8,94.87,9.2206,0.23599,128.23,0.05447,30.887,0.029334,76.664,1.9621,-43367.0,42.836,-62.138,0.10366,-46298.0,87.043,-69.811,0.22299,90.0,250.0,0.99999,0.00022778,2.0707e-5,14
Chlorobenzene,-27.866,5.3805,5111.2,279.76,3.2316,0.78296,81.404,0.19893,31.701,0.27434,26.869,6.5099,-32970.0,287.71,-47.082,0.80641,-32739.0,293.82,-46.439,0.82244,90.0,250.0,0.99982,0.0030471,0.00025393,15
2-Chloroaniline,-62.008,1.8627,8205.1,108.69,7.8909,0.26562,135.37,0.068303,33.502,0.039522,65.609,2.2085,-41419.0,50.787,-55.479,0.1208,-44395.0,112.98,-63.203,0.28755,90.0,250.0,0.99999,0.00035069,2.9224e-5,15
