Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Propiophenone,-65.225,1.4852,8601.7,92.113,8.2885,0.2097,164.74,0.039485,38.564,0.05537,68.914,1.7436,-41341.0,59.825,-54.265,0.13582,-46492.0,143.56,-67.163,0.35366,90.0,125.0,1.0,8.0004e-5,8.0004e-6,13
Butyrophenone,-67.387,1.6821,9101.8,107.42,8.5198,0.23641,179.18,0.039499,38.985,0.075513,70.837,1.9656,-43635.0,84.862,-56.323,0.18704,-49952.0,194.88,-71.878,0.47056,90.0,125.0,1.0,5.7697e-5,6.4107e-6,12
Valerophenone,-72.815,2.7649,9861.0,182.35,9.2023,0.3867,195.13,0.076872,39.499,0.15149,76.512,3.2152,-46159.0,177.68,-58.427,0.37838,-54203.0,382.15,-77.881,0.90112,90.0,125.0,0.99999,8.3524e-5,1.0441e-5,11
Hexanophenone,-78.949,5.6215,10671.0,381.1,9.9819,0.78279,210.01,0.1676,39.917,0.3173,82.994,6.5085,-48625.0,387.99,-60.495,0.80076,-58585.0,872.78,-84.192,2.0242,90.0,125.0,0.99999,8.2712e-5,1.3785e-5,9
Heptanophenone,-95.076,4.8897,12099.0,340.86,12.172,0.67809,224.31,0.20059,40.947,0.32791,101.2,5.6379,-50250.0,404.45,-60.867,0.80995,-63843.0,859.7,-92.717,1.9517,90.0,125.0,0.99999,2.6549e-5,5.3099e-6,8
Octanophenone,-107.69,8.8618,13312.0,634.47,13.866,1.2242,238.12,0.47508,42.007,0.69068,115.29,10.179,-51739.0,856.11,-61.052,1.6665,-68815.0,1737.7,-100.49,3.8643,90.0,125.0,0.99999,3.289e-5,8.2225e-6,7
