Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1
Pentanol,-162.05,9.8551,11672.0,482.55,22.81,1.448,58.934,0.13203,26.919,0.26176,189.66,12.04,-34062.0,332.32,-56.661,0.9982,-28170.0,502.31,-39.7,1.4722,90.0,250.0,0.99994,0.00010808,2.7021e-5,7,alcohol
Heptanol,-171.3,10.048,13375.0,540.21,23.797,1.4525,98.42,0.17032,30.458,0.1486,197.86,12.077,-37688.0,187.08,-55.522,0.49702,-39354.0,220.92,-60.057,0.58336,90.0,250.0,0.99989,0.00082101,0.00013683,9,alcohol
1-Nonanol,-127.75,5.9857,12127.0,348.61,17.218,0.85409,133.41,0.10037,32.239,0.19233,143.16,7.1013,-42629.0,255.19,-58.945,0.62608,-48844.0,401.21,-75.11,1.0188,90.0,250.0,0.99997,0.00035221,5.0316e-5,10,alcohol
1-Decanol,-142.11,4.3521,13442.0,261.35,19.153,0.61769,149.1,0.075841,33.298,0.10121,159.25,5.1357,-44520.0,136.26,-59.527,0.32102,-53931.0,333.49,-83.538,0.83938,90.0,250.0,0.99998,0.00026,3.25e-5,11,alcohol
1-Undecanol,-125.62,4.0206,13025.0,248.8,16.667,0.56791,163.57,0.055178,33.191,0.11346,138.57,4.7218,-47777.0,163.77,-63.493,0.37423,-57972.0,384.36,-89.056,0.94845,90.0,250.0,0.99999,8.226e-5,1.371e-5,9,alcohol
1-Dodecanol,-146.44,6.8638,14697.0,436.53,19.531,0.96526,177.33,0.1059,34.403,0.22291,162.39,8.0256,-49045.0,318.62,-62.964,0.7059,-63226.0,770.6,-97.957,1.8689,90.0,250.0,0.99998,0.00029201,4.1716e-5,10,alcohol
